===========================================
IMAGE COMPRESSION REPORT
Date: 2025년 8월 25일 월요일 11시 06분 55초 KST
===========================================
material/25서밋_행사타임테이블(국문).jpg: 2.53MB → 1.06MB (saved 1.46MB, 57.9%)
material/25서밋_웹포스터(영문).jpg: 2.14MB → .73MB (saved 1.40MB, 65.5%)
material/25서밋_행사타임테이블(영문).jpg: 3.09MB → 1.28MB (saved 1.80MB, 58.4%)
material/25서밋_웹포스터(국문).jpg: 2.00MB → .68MB (saved 1.31MB, 65.5%)
material/[2025 서밋] 참가자프로필 라운드 /이학영_국회부의장_프로필라운드.png: 12.55MB → 12.26MB (saved .28MB, 2.2%)
material/[2025 서밋] 참가자프로필 라운드 /최문진_부강테크_프로필라운드.png: 2.38MB → 2.23MB (saved .15MB, 6.3%)
material/[2025 서밋] 참가자프로필 라운드 /권순우_삼프로TV_프로필라운드.png: 6.68MB → 6.45MB (saved .22MB, 3.4%)
material/[2025 서밋] 참가자프로필 라운드 /최고운_한국산업은행_프로필라운드.png: 5.60MB → 5.25MB (saved .34MB, 6.2%)
material/[2025 서밋] 참가자프로필 라운드 /조유현_더나은미래_프로필라운드.png: 6.71MB → 6.36MB (saved .35MB, 5.2%)
material/[2025 서밋] 참가자프로필 라운드 /나지훈_경기환경에너지진흥원_프로필라운드.png: 5.58MB → 5.18MB (saved .40MB, 7.1%)
material/[2025 서밋] 참가자프로필 라운드 /김선교_한국과학기술기획평가원_프로필라운드.png: 4.36MB → 4.09MB (saved .26MB, 6.0%)
material/[2025 서밋] 참가자프로필 라운드 /하지현_기후솔루션_프로필라운드.png: 14.21MB → 13.50MB (saved .70MB, 4.9%)
material/[2025 서밋] 참가자프로필 라운드 /류석영_카카오임팩트_프로필라운드.png: 4.43MB → 4.04MB (saved .38MB, 8.7%)
material/[2025 서밋] 참가자프로필 라운드 /오용석_녹색전환연구소_프로필라운드.png: 4.35MB → 4.17MB (saved .18MB, 4.2%)
material/[2025 서밋] 참가자프로필 라운드 /최균_사단법인넥스트_프로필라운드.png: 14.37MB → 13.61MB (saved .76MB, 5.3%)
material/[2025 서밋] 참가자프로필 라운드 /박형건_Capture6_프로필라운드.png: 16.41MB → 15.65MB (saved .75MB, 4.6%)
