===========================================
PNG TO JPG CONVERSION REPORT
Date: 2025년 8월 25일 월요일 12시 30분 37초 KST
===========================================
material/APEC logo_2.png: PNG .01MB → JPG .01MB (saved 0MB, -12.5%)
material/APEC logo_1.png: PNG .01MB → JPG .01MB (saved 0MB, -10.3%)
material/summit_logo.png: PNG .03MB → JPG .01MB (saved .02MB, 51.8%)
material/네비게이션 로고 wh.png: PNG .01MB → JPG 0MB (saved .01MB, 96.6%)
material/중소벤처기업부 logo.png: PNG .04MB → JPG .04MB (saved 0MB, 13.6%)
material/네비게이션 로고.png: PNG .01MB → JPG .01MB (saved 0MB, 16.7%)
material/linkedin.png: PNG .01MB → JPG .01MB (saved 0MB, 9.7%)
material/summit logo wh.png: PNG 0MB → JPG 0MB (saved 0MB, 95.8%)
material/[2025 서밋] 참가자프로필 라운드 /천권필_한겨레_프로필라운드.png: PNG .36MB → JPG .41MB (saved -.05MB, -14.2%)
material/[2025 서밋] 참가자프로필 라운드 /이학영_국회부의장_프로필라운드.png: PNG 12.26MB → JPG 2.21MB (saved 10.05MB, 81.9%)
material/[2025 서밋] 참가자프로필 라운드 /최현웅_시드앤_프로필라운드.png: PNG .24MB → JPG .27MB (saved -.03MB, -10.3%)
material/[2025 서밋] 참가자프로필 라운드 /최문진_부강테크_프로필라운드.png: PNG 2.23MB → JPG .93MB (saved 1.30MB, 58.4%)
material/[2025 서밋] 참가자프로필 라운드 /권순우_삼프로TV_프로필라운드.png: PNG 6.45MB → JPG 1.43MB (saved 5.02MB, 77.7%)
material/[2025 서밋] 참가자프로필 라운드 /최고운_한국산업은행_프로필라운드.png: PNG 5.25MB → JPG 1.76MB (saved 3.49MB, 66.3%)
material/[2025 서밋] 참가자프로필 라운드 /조유현_더나은미래_프로필라운드.png: PNG 6.36MB → JPG 2.02MB (saved 4.34MB, 68.2%)
material/[2025 서밋] 참가자프로필 라운드 /나지훈_경기환경에너지진흥원_프로필라운드.png: PNG 5.18MB → JPG 1.91MB (saved 3.27MB, 63.0%)
material/[2025 서밋] 참가자프로필 라운드 /김선교_한국과학기술기획평가원_프로필라운드.png: PNG 4.09MB → JPG 1.35MB (saved 2.74MB, 66.8%)
material/[2025 서밋] 참가자프로필 라운드 /하지현_기후솔루션_프로필라운드.png: PNG 13.50MB → JPG 2.19MB (saved 11.31MB, 83.7%)
material/[2025 서밋] 참가자프로필 라운드 /류석영_카카오임팩트_프로필라운드.png: PNG 4.04MB → JPG 1.94MB (saved 2.10MB, 52.0%)
material/[2025 서밋] 참가자프로필 라운드 /오용석_녹색전환연구소_프로필라운드.png: PNG 4.17MB → JPG 1.03MB (saved 3.14MB, 75.3%)
material/[2025 서밋] 참가자프로필 라운드 /최균_사단법인넥스트_프로필라운드.png: PNG 13.61MB → JPG 2.66MB (saved 10.95MB, 80.4%)
material/[2025 서밋] 참가자프로필 라운드 /박형건_Capture6_프로필라운드.png: PNG 15.65MB → JPG 2.12MB (saved 13.53MB, 86.4%)
material/[2025 서밋] 참가자프로필 라운드 /김경하_더나은미래_프로필라운드.png: PNG .19MB → JPG .17MB (saved .02MB, 12.5%)
material/[2025 서밋] 참가자프로필 라운드 /김병권_녹색전환연구소_프로필라운드.png: PNG 7.56MB → JPG 2.12MB (saved 5.44MB, 71.8%)
material/[2025 서밋] 참가자프로필 라운드 /임준우_소풍벤처스_프로필라운드.png: PNG 8.07MB → JPG 2.75MB (saved 5.32MB, 65.9%)
material/[2025 서밋] 참가자프로필 라운드 /한성숙_중기부_프로필라운드.png: PNG .36MB → JPG .39MB (saved -.03MB, -10.8%)
material/[2025 서밋] 참가자프로필 라운드 /육심나_카카오임팩트_프로필라운드.png: PNG 13.10MB → JPG 2.15MB (saved 10.95MB, 83.5%)
material/[2025 서밋] 참가자프로필 라운드 /Anup Jain_BGVentures_프로필라운드.png: PNG .17MB → JPG .19MB (saved -.02MB, -13.0%)
material/[2025 서밋] 참가자프로필 라운드 /이혜진_창업진흥원_프로필라운드.png: PNG 2.52MB → JPG 1.09MB (saved 1.43MB, 56.6%)
material/[2025 서밋] 참가자프로필 라운드 /배여름_cleantech group_프로필라운드.png: PNG 9.56MB → JPG 2.28MB (saved 7.28MB, 76.1%)
material/[2025 서밋] 참가자프로필 라운드 /박종천_넥스트인텔라전스닷에이아이_프로필라운드.png: PNG 11.05MB → JPG 2.33MB (saved 8.72MB, 78.8%)
material/[2025 서밋] 참가자프로필 라운드 /신용녀_마이크로소프트_프로필라운드.png: PNG 18.80MB → JPG 2.22MB (saved 16.58MB, 88.1%)
material/[2025 서밋] 참가자프로필 라운드 /최경희_소풍커넥트_프로필라운드.png: PNG 17.37MB → JPG 2.69MB (saved 14.68MB, 84.5%)
material/[2025 서밋] 참가자프로필 라운드 /홍진아_카카오임팩트_프로필라운드.png: PNG 7.63MB → JPG 2.37MB (saved 5.26MB, 68.9%)
material/[2025 서밋] 참가자프로필 라운드 /오보영_카카오_프로필라운드.png: PNG 8.80MB → JPG 2.25MB (saved 6.55MB, 74.3%)
material/[2025 서밋] 참가자프로필 라운드 /김효은_글로벌산업탈탄소허브_프로필라운드.png: PNG 2.62MB → JPG 1.19MB (saved 1.43MB, 54.4%)
material/[2025 서밋] 참가자프로필 라운드 /한상엽_소풍벤처스_프로필라운드.png: PNG 16.08MB → JPG 2.90MB (saved 13.18MB, 81.9%)
material/[2025 서밋] 참가자프로필 라운드 /김종규_식스티헤르츠_프로필라운드.png: PNG 4.55MB → JPG 1.68MB (saved 2.87MB, 63.0%)
material/[2025 서밋] 참가자프로필 라운드 /김기만_중소벤처기업연구원_프로필라운드.png: PNG 4.14MB → JPG 1.66MB (saved 2.48MB, 59.8%)
material/[2025 서밋] 참가자프로필 라운드 /문건호_디쓰리 쥬빌리 파트너스_프로필라운드.png: PNG 8.63MB → JPG 1.54MB (saved 7.09MB, 82.1%)
material/[2025 서밋] 참가자프로필 라운드 /김한수_경기연구원_프로필라운드.png: PNG .39MB → JPG .43MB (saved -.04MB, -10.9%)
material/[2025 서밋] 참가자프로필 라운드 /정연우_솔라파트너스_프로필라운드.png: PNG 5.07MB → JPG 1.72MB (saved 3.35MB, 65.9%)
material/[2025 서밋] 참가자프로필 라운드 /김신우_(주)신성이엔지_프로필라운드.png: PNG 3.75MB → JPG 1.29MB (saved 2.46MB, 65.5%)
material/[2025 서밋] 참가자프로필 라운드 /류준우_그리드위즈_프로필라운드.png: PNG 15.01MB → JPG 1.43MB (saved 13.58MB, 90.4%)
material/[2025 서밋] 참가자프로필 라운드 /김기현_지오그리드_프로필라운드.png: PNG 7.13MB → JPG 1.33MB (saved 5.80MB, 81.2%)
material/[2025 서밋] 참가자프로필 라운드 /박용진_KIS자산평가_프로필라운드.png: PNG 7.00MB → JPG 1.93MB (saved 5.07MB, 72.3%)
