"sigun_cd","emd_cd","sigun_nm","emd_nm","thrcf_grd1_area","thrcf_grd2_area","thrcf_grd3_area","thrcf_grd4_area","thrcf_grd5_area","thrcf_grd6_area","thrcf_grd7_area","thrcf_grd8_area","thrcf_grd9_area","thrcf_grd10_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"31090","31091760  ",안산시,사동,22.980000000,20.790000000,26.490000000,25.410000000,23.160000000,22.320000000,27.700000000,21.920000000,18.680000000,8.760000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31091770  ",안산시,사이동,29.990000000,36.340000000,43.450000000,27.360000000,40.610000000,24.650000000,25.240000000,33.840000000,22.520000000,11.070000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31091780  ",안산시,해양동,63.940000000,34.450000000,39.080000000,39.440000000,56.200000000,45.170000000,58.240000000,84.660000000,30.690000000,19.180000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092590  ",안산시,와동,30.320000000,47.180000000,51.430000000,44.520000000,31.800000000,27.760000000,27.920000000,24.730000000,21.200000000,10.940000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092660  ",안산시,초지동,157.860000000,157.770000000,186.010000000,182.040000000,214.280000000,240.120000000,340.830000000,348.480000000,378.970000000,309.650000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092680  ",안산시,선부1동,18.050000000,9.380000000,10.100000000,8.000000000,8.340000000,6.540000000,9.820000000,5.660000000,3.330000000,1.970000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092690  ",안산시,선부2동,19.870000000,30.650000000,43.490000000,39.080000000,46.460000000,30.650000000,33.620000000,30.170000000,25.500000000,6.040000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092700  ",안산시,선부3동,45.820000000,76.800000000,110.380000000,60.770000000,62.730000000,28.410000000,31.220000000,28.130000000,23.090000000,8.590000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092720  ",안산시,대부동,96.510000000,332.200000000,650.100000000,668.500000000,1110.250000000,1164.220000000,496.550000000,642.020000000,441.670000000,434.420000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092730  ",안산시,호수동,59.210000000,23.590000000,15.300000000,17.030000000,19.140000000,21.460000000,34.430000000,20.500000000,20.730000000,21.220000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092740  ",안산시,고잔동,15.180000000,13.350000000,15.180000000,14.130000000,14.830000000,14.440000000,18.440000000,14.770000000,13.640000000,8.820000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092750  ",안산시,중앙동,33.530000000,26.760000000,28.830000000,21.370000000,18.180000000,14.510000000,17.780000000,12.150000000,10.990000000,9.530000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092760  ",안산시,원곡동,7.090000000,8.620000000,11.280000000,13.160000000,14.010000000,15.170000000,19.590000000,19.100000000,13.910000000,6.650000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092770  ",안산시,신길동,37.350000000,35.010000000,44.340000000,58.220000000,109.340000000,128.040000000,70.820000000,74.350000000,74.060000000,43.720000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31090","31092780  ",안산시,백운동,38.930000000,17.820000000,18.710000000,12.830000000,10.940000000,11.390000000,16.590000000,9.630000000,4.330000000,3.180000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101510  ",고양시,주교동,0.250000000,0.760000000,1.680000000,5.570000000,6.620000000,10.570000000,5.770000000,9.790000000,4.310000000,4.500000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101511  ",고양시,흥도동,38.040000000,31.410000000,51.060000000,156.570000000,152.250000000,142.530000000,66.330000000,118.660000000,104.190000000,43.850000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101512  ",고양시,삼송1동,20.650000000,50.450000000,77.060000000,113.720000000,48.290000000,35.890000000,30.000000000,25.220000000,18.350000000,16.360000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101513  ",고양시,삼송2동,12.650000000,5.340000000,6.260000000,8.730000000,7.920000000,7.660000000,11.860000000,9.920000000,3.930000000,2.110000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101514  ",고양시,행신3동,21.940000000,6.300000000,5.190000000,4.840000000,4.110000000,3.110000000,3.810000000,2.320000000,1.200000000,1.820000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101515  ",고양시,행신4동,12.440000000,10.940000000,12.410000000,16.680000000,16.300000000,18.350000000,15.630000000,16.110000000,9.530000000,4.830000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101520  ",고양시,원신동,0.030000000,0.190000000,0.010000000,0.030000000,0.100000000,0.150000000,0.360000000,0.000000000,0.000000000,0.000000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101540  ",고양시,성사1동,0.010000000,0.040000000,0.010000000,0.030000000,0.050000000,0.080000000,0.050000000,0.030000000,0.060000000,0.110000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101550  ",고양시,성사2동,1.260000000,3.300000000,6.580000000,11.330000000,6.970000000,4.500000000,4.010000000,3.150000000,1.730000000,1.630000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101560  ",고양시,효자동,488.410000000,599.110000000,511.740000000,242.580000000,94.750000000,118.950000000,258.110000000,119.920000000,79.440000000,55.630000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101580  ",고양시,창릉동,52.360000000,94.910000000,118.010000000,199.960000000,102.550000000,88.680000000,105.430000000,147.180000000,123.500000000,84.860000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101590  ",고양시,고양동,32.110000000,53.990000000,51.070000000,100.760000000,60.180000000,45.910000000,42.420000000,28.780000000,28.890000000,20.290000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101610  ",고양시,능곡동,14.860000000,12.940000000,24.340000000,87.570000000,219.450000000,452.370000000,73.960000000,82.980000000,103.420000000,170.240000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101620  ",고양시,화정1동,32.460000000,16.710000000,15.580000000,25.610000000,22.400000000,27.990000000,23.690000000,22.670000000,20.890000000,14.060000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101630  ",고양시,화정2동,32.200000000,14.480000000,12.230000000,23.110000000,30.180000000,38.160000000,13.000000000,13.310000000,8.600000000,7.810000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101640  ",고양시,행주동,8.230000000,20.890000000,27.080000000,47.930000000,93.130000000,161.270000000,51.390000000,69.680000000,59.970000000,94.880000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101650  ",고양시,행신1동,18.030000000,8.920000000,6.630000000,5.170000000,4.210000000,4.610000000,6.800000000,4.710000000,2.790000000,2.130000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101660  ",고양시,행신2동,28.010000000,25.530000000,25.360000000,42.360000000,36.550000000,49.760000000,32.900000000,59.070000000,58.500000000,68.380000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101670  ",고양시,화전동,57.690000000,62.980000000,71.820000000,70.350000000,40.440000000,62.730000000,137.630000000,127.650000000,49.600000000,38.540000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31101680  ",고양시,대덕동,31.250000000,32.090000000,48.130000000,98.650000000,107.760000000,312.730000000,72.690000000,157.670000000,101.920000000,104.100000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31103540  ",고양시,풍산동,0.820000000,1.350000000,2.590000000,8.320000000,10.020000000,17.760000000,5.120000000,6.600000000,7.710000000,9.420000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31103550  ",고양시,백석1동,17.400000000,9.640000000,9.830000000,9.020000000,7.790000000,9.310000000,14.430000000,14.470000000,17.710000000,19.360000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31103570  ",고양시,마두2동,0.510000000,0.170000000,0.110000000,0.300000000,0.440000000,0.560000000,0.700000000,0.440000000,0.140000000,0.190000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31103580  ",고양시,장항1동,0.830000000,2.670000000,9.620000000,36.210000000,56.720000000,256.490000000,51.780000000,117.220000000,104.410000000,145.730000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31103590  ",고양시,장항2동,10.450000000,4.200000000,3.310000000,4.550000000,2.300000000,3.470000000,4.210000000,3.780000000,3.280000000,1.150000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31103610  ",고양시,백석2동,12.270000000,6.610000000,6.250000000,6.460000000,7.250000000,7.230000000,8.490000000,7.730000000,6.910000000,4.790000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31100","31104580  ",고양시,송포동,0.000000000,0.690000000,0.430000000,0.150000000,0.960000000,12.630000000,0.390000000,0.360000000,0.020000000,0.000000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31110","31110510  ",과천시,중앙동,58.500000000,121.010000000,108.260000000,79.610000000,72.340000000,76.250000000,71.060000000,46.590000000,41.850000000,18.430000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31110","31110521  ",과천시,갈현동,26.890000000,16.880000000,15.860000000,17.390000000,16.770000000,20.460000000,27.050000000,35.920000000,30.150000000,17.750000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31110","31110522  ",과천시,원문동,19.900000000,15.340000000,19.580000000,16.770000000,24.800000000,38.090000000,36.110000000,17.190000000,22.880000000,7.650000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31110","31110530  ",과천시,별양동,14.130000000,6.670000000,5.550000000,5.080000000,5.050000000,5.300000000,5.080000000,8.450000000,4.700000000,2.140000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31110","31110540  ",과천시,부림동,9.960000000,4.690000000,3.080000000,3.070000000,2.790000000,2.800000000,3.260000000,3.110000000,3.390000000,2.530000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31011560  ",수원시,정자1동,31.850000000,16.860000000,10.440000000,6.730000000,8.220000000,8.000000000,9.510000000,8.270000000,8.140000000,4.450000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31011570  ",수원시,정자2동,22.480000000,14.850000000,9.680000000,9.690000000,12.030000000,12.830000000,13.100000000,11.380000000,8.030000000,4.200000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31011580  ",수원시,영화동,2.730000000,6.170000000,7.940000000,10.300000000,12.280000000,16.120000000,19.390000000,20.090000000,17.690000000,13.310000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31011590  ",수원시,송죽동,5.820000000,7.310000000,17.010000000,27.140000000,28.770000000,29.840000000,17.510000000,15.520000000,10.270000000,6.300000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31011600  ",수원시,조원1동,10.980000000,14.060000000,15.900000000,22.210000000,18.360000000,18.460000000,20.630000000,16.210000000,16.010000000,8.140000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31011610  ",수원시,연무동,14.340000000,188.700000000,310.860000000,297.760000000,174.670000000,56.400000000,32.500000000,31.170000000,33.140000000,15.270000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31011620  ",수원시,정자3동,32.790000000,25.950000000,19.010000000,17.450000000,15.760000000,15.950000000,22.630000000,16.640000000,11.850000000,7.570000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31011630  ",수원시,조원2동,14.260000000,8.840000000,9.490000000,24.440000000,23.250000000,13.630000000,8.820000000,7.610000000,7.910000000,4.550000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012520  ",수원시,세류1동,4.630000000,3.560000000,4.490000000,4.540000000,6.060000000,24.730000000,7.800000000,7.930000000,8.230000000,5.060000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012530  ",수원시,세류2동,2.850000000,6.650000000,8.840000000,9.770000000,14.530000000,53.410000000,28.340000000,140.400000000,128.430000000,19.610000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012540  ",수원시,세류3동,3.180000000,5.000000000,5.370000000,5.870000000,7.370000000,9.340000000,16.450000000,16.620000000,10.730000000,6.850000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012550  ",수원시,평동,33.360000000,31.740000000,38.080000000,57.360000000,113.350000000,231.870000000,112.260000000,240.360000000,114.660000000,99.380000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012560  ",수원시,서둔동,15.760000000,19.120000000,21.310000000,35.860000000,58.810000000,140.700000000,60.190000000,81.290000000,56.700000000,49.190000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012570  ",수원시,구운동,12.670000000,11.410000000,10.370000000,11.300000000,23.900000000,50.680000000,19.650000000,18.640000000,17.850000000,15.060000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012600  ",수원시,권선1동,10.600000000,12.400000000,11.050000000,11.000000000,10.390000000,12.040000000,15.920000000,14.600000000,12.120000000,7.940000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012610  ",수원시,곡선동,20.300000000,17.690000000,15.850000000,18.980000000,26.850000000,29.320000000,28.310000000,96.190000000,79.150000000,21.350000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012620  ",수원시,입북동,11.530000000,13.310000000,26.770000000,71.500000000,119.160000000,230.370000000,47.250000000,74.920000000,38.780000000,57.460000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012640  ",수원시,권선2동,31.610000000,25.310000000,18.620000000,20.740000000,24.110000000,26.560000000,26.220000000,24.660000000,21.210000000,18.340000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012650  ",수원시,금곡동,41.030000000,31.530000000,42.930000000,73.260000000,53.090000000,59.640000000,31.380000000,40.170000000,17.420000000,12.200000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
"31010","31012660  ",수원시,호매실동,45.830000000,44.680000000,43.090000000,54.190000000,94.350000000,87.930000000,30.700000000,31.520000000,21.750000000,15.020000000,system,2025-07-09 20:10:47.957,system,2025-07-09 20:10:47.957
