"sigun_cd","emd_cd","sigun_nm","emd_nm","thrcf_grd1_livng_ppltn_cnt","thrcf_grd2_livng_ppltn_cnt","thrcf_grd3_livng_ppltn_cnt","thrcf_grd4_livng_ppltn_cnt","thrcf_grd5_livng_ppltn_cnt","thrcf_grd6_livng_ppltn_cnt","thrcf_grd7_livng_ppltn_cnt","thrcf_grd8_livng_ppltn_cnt","thrcf_grd9_livng_ppltn_cnt","thrcf_grd10_livng_ppltn_cnt","whol_livng_ppltn_cnt","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"3110 ","31101520  ",고양시,원신동,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011540  ",수원시,파장동,19639.6301919400,16903.9803014400,6998.2051504790,4447.0522194080,5345.1372601920,8080.8504385190,15592.6708764860,10279.8385207580,20706.3870137330,21441.6609041440,129435.4128770990,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011550  ",수원시,율천동,73841.0328766570,27719.3366033730,18817.1562191690,5825.9578630930,9638.8194244620,12395.4711509150,20343.8136162700,10827.8893975450,27295.4649587540,46699.3539468400,253404.2960570780,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011560  ",수원시,정자1동,66071.1510686060,20760.2671786160,10377.7038906349,7285.8406579720,6095.7813149700,7194.8153424700,11437.1446305050,7180.0224656180,11724.3679723400,16414.8416436100,164541.9361653419,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011570  ",수원시,정자2동,56937.1564933690,18880.7735891320,11156.3450138060,4592.0625754000,7218.1902465400,6454.9176436000,11473.9690134000,16020.8463284600,15694.5326570000,31291.0456188700,179719.8391795770,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3120 ","31200350  ",파주시,광탄면,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011580  ",수원시,영화동,9479.9141372800,12080.1555342200,8128.3031783550,2960.4966848800,4815.4131781100,6275.3308768800,14295.7179454100,7255.5025751600,17686.2770687450,17486.0223560300,100463.1335350700,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011590  ",수원시,송죽동,9006.0409591000,9611.1209866200,7008.1341369540,2257.1390136470,3516.9588493160,4441.8292330400,9634.1200278410,3387.1327670000,11528.0055888330,12571.3541920500,72961.8357544010,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011600  ",수원시,조원1동,13726.4936440900,14454.8662464900,12082.3278904680,5057.4381370000,13334.1488490730,8895.4581096100,17943.9404927090,11259.2403558930,21484.2435884400,24679.0459461500,142917.2032599230,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011610  ",수원시,연무동,7115.0399724800,10789.5571780680,8392.5692057250,5654.7772328000,6905.1725205740,7569.7614519880,13010.5236710540,11396.7050132390,14919.0953152230,13126.0842739490,98879.2858351000,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011620  ",수원시,정자3동,71290.9829858299,42918.3662199330,17274.5097532700,5958.9656164000,4628.5373699400,10098.6698627600,16501.4623838900,9971.1349313830,14087.3643010900,34757.2017790300,227487.1952035259,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31011630  ",수원시,조원2동,11065.6987125400,6441.5617812690,8384.7211777410,753.5443835040,3043.8297260290,2365.2522740000,10543.1066024430,9471.0469869200,6900.4917533530,12686.2553698000,71655.5087675990,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012520  ",수원시,세류1동,7705.7332877000,4114.4084658500,2955.7443013400,1183.1359177970,1785.5040548400,1038.3582191900,3008.5823014200,2290.5219177340,3755.2128219850,6164.4244657800,34001.6257536360,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012530  ",수원시,세류2동,13733.8691781000,12761.7000269000,8638.8806299800,5173.9104383500,6650.4717261450,10184.0172327210,19078.4309863850,11145.6996985670,15912.5193150470,27663.1137263780,130942.6129585730,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012540  ",수원시,세류3동,8521.1298356200,8822.3564387000,6305.0303286000,2755.8035891000,4174.5517259000,4231.2841643000,12097.5227121300,8056.2824933700,10091.7343558100,13740.0477257000,78795.7433692300,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012550  ",수원시,평동,53582.5844110290,22429.0713975200,11956.3300270940,6420.8083013520,9671.8024380130,10357.2707946180,23269.9531235140,19076.8586848240,29093.9083013360,69233.9914794070,255092.5789587070,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012560  ",수원시,서둔동,36159.5997538200,21359.9097528910,13515.9967124800,5111.6878080780,9743.3091505910,14043.7096985350,25873.0114799290,19662.4871240880,27823.9035349640,47227.9299728860,220521.5449882620,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012570  ",수원시,구운동,24331.0975063080,13090.5320548000,9263.6110133960,3499.1358355770,6214.7361919710,6562.5647946840,12716.1802467900,11168.9432330100,15179.4398358930,20722.3350964310,122748.5758088600,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012600  ",수원시,권선1동,24572.4281372900,14981.6563564220,8780.5260547880,5000.5921917700,6833.0048767250,8980.7063015300,13392.3400550200,9193.4867944000,10720.4629589200,19168.0116708800,121623.2153977450,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012610  ",수원시,곡선동,57825.7299728920,28416.4469859540,11475.0749044000,6881.5968220000,6225.6112604500,7228.3887943040,14456.6966301100,8773.7399450000,14013.6603014670,36439.0315890200,191735.9772055970,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012620  ",수원시,입북동,21367.4349865600,10525.6514795140,4350.2301643830,2274.3950959730,4066.0198083500,5755.2174519280,5872.8274792070,6829.1506845960,6187.8859453680,19481.1886848020,86710.0017806810,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012640  ",수원시,권선2동,85908.7915064900,44959.8729319070,16803.8258358970,5193.2793969920,7686.6759177220,7134.1612054120,12010.8036170520,9384.1859725350,13783.5252054400,47103.6275890110,249968.7491784580,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012650  ",수원시,금곡동,103765.3023568900,40762.9669863900,14879.7398629460,6455.2339452650,10699.0600820940,12171.2809310239,15494.2414246630,10791.7710959390,13527.9109045100,38148.7839166340,266696.2915063549,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31012660  ",수원시,호매실동,67167.7519183080,33976.2545481040,13131.8662192790,6382.3079177890,6260.6200820310,8718.3870411540,12498.3146846950,9459.6913704920,15312.8478083050,29733.6622185780,202641.7038087350,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013530  ",수원시,지동,3342.6087667800,4227.7406300500,2849.1683013900,4030.7177265980,2621.8780546900,3371.3908766400,10641.7236981120,6889.0081642630,9224.5019727730,7124.9836709700,54323.7218622660,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013540  ",수원시,우만1동,11158.2130411200,11687.8043014290,10598.8171778500,2221.4917807980,7440.3349314980,7888.8011504320,15994.3184108539,7213.9207122180,16976.5225485250,21633.8939449400,112814.1179996639,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013550  ",수원시,우만2동,24993.6800549700,10728.9645203000,10937.6018903040,2001.2708218700,3091.0515616600,2621.3676712600,5274.0348496500,3415.5397810200,5411.5816714540,10188.9300267400,78664.0228492280,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013560  ",수원시,인계동,76652.5441642000,37755.4647671550,14956.2348494690,7645.2966574860,11275.1121917870,14567.9554518070,18698.3651501980,12203.5565207310,13250.7256437400,36562.9373430590,243568.1927396320,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013670  ",수원시,매교동,35728.0025760500,20332.9928217100,5059.3025205520,4627.5290410800,4157.8713972150,3816.3378082900,10445.9070407830,5732.5199999790,5730.3901643500,18928.9809582700,114559.8343282790,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013680  ",수원시,매산동,7542.3293698500,5816.1427946960,2448.7719727000,3442.4169314900,1975.3272328700,4460.2827670710,7551.3274521920,3116.6624933900,4939.1216986540,12139.6304656700,53432.0131785830,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013690  ",수원시,고등동,21066.0436164400,8444.9870137500,3621.9738629220,695.6190137400,1089.9471506500,3630.8232877840,7524.3007125410,3615.2349586600,8614.9675339400,13146.5598627850,71450.4570132120,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013700  ",수원시,화서1동,13380.0765203900,13640.1681370900,12022.0212329800,3750.7780273000,10448.4464110200,6011.5730412140,15461.7992054370,10135.9517256300,21151.4325755800,14472.9489863000,120475.1958629410,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013710  ",수원시,화서2동,39246.5951784300,19045.1458625680,8785.1747398030,5266.9098356040,2984.4958629770,5609.0599174890,11240.3357534870,7009.6959174910,5948.9571781960,12985.9479999300,118122.3182459750,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31013720  ",수원시,행궁동,4255.5297532900,4336.9775891050,3425.7470686690,2183.4327396710,3335.2024931500,3541.2812053910,9767.3234794880,5651.2208220170,7886.5011507710,13120.0466302000,57503.2629317520,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014510  ",수원시,매탄1동,5540.4669316000,5008.2303012700,2133.2190685100,2014.6798628600,3179.2048218500,2702.6435069000,6043.5026297800,4974.2536439500,8554.4805752100,7629.5109591200,47780.1923010500,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014520  ",수원시,매탄2동,12366.6291789600,7795.2449861100,7554.6297533000,1403.4893697900,2942.5899177000,4484.7601094900,10789.0782464600,5830.8308493600,15889.0734796000,14917.2912607000,83973.6171514700,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014530  ",수원시,매탄3동,30070.0149048790,21241.9211221230,12354.0463840320,6869.0162184270,6042.7783014250,8723.3397258540,28743.2872609250,13858.8639455250,27316.9623559730,49693.8467124570,204914.0769316200,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014540  ",수원시,매탄4동,9960.9279179450,11032.2660548440,5476.2667394900,2301.0116165330,3846.1639998250,5731.6544655300,7552.1624660000,7518.0286029200,9883.8498632200,16909.2994526100,80211.6311789170,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014600  ",수원시,원천동,68032.8238083690,30888.8436171760,11666.6164386740,6669.8044383200,6861.2964656600,7423.7649040200,19315.6198087810,16421.2892326850,15348.4910135820,45068.0571493300,227696.6068765970,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014620  ",수원시,광교1동,98361.5664388170,35427.7812326380,18776.4610141720,5811.8311231840,13432.5381096540,12857.8040000110,18125.9672874420,16235.7079179970,20570.1788215950,40310.6237538340,279910.4596993440,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014630  ",수원시,광교2동,50560.4481915520,19259.2100824790,9621.1991784670,3961.4990411700,5503.1073427010,3781.2183012500,6130.2487669650,4720.4971781130,8578.4896712190,13757.2947667000,125873.2125206160,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014640  ",수원시,영통1동,55323.5469569100,34333.4581095700,13589.8238353500,8809.1057807500,5940.9344107250,12218.4783568200,14277.8831227500,7433.7620824440,10857.4859729400,25670.0318636700,188454.5104919290,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014650  ",수원시,영통2동,38022.9714257030,19884.7064663280,8932.0798900560,4377.8032603570,4346.9565479670,7282.6759180300,12897.1486850400,11361.6153153900,8566.8848492800,15487.3895343200,131160.2318924710,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014660  ",수원시,영통3동,53967.7049033420,26296.3540542630,11725.2529583200,7582.6582735200,7858.3112323200,8811.4697262490,14406.2838081100,12187.5927666200,17984.7906025100,23151.7157528600,183972.1340781140,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014670  ",수원시,망포1동,61114.9206026060,24521.2224107720,6511.6768496200,2361.3115342000,3469.3268767500,3639.4949041900,9451.2093153300,2061.4813972200,6199.5557261100,23407.7904387500,142737.9900555480,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
"3101 ","31014680  ",수원시,망포2동,64828.5473422610,18684.2768765450,4694.7908492300,633.3793698700,3467.9340549100,1560.4084657700,3986.5224656020,3443.1250410140,7885.6786848900,16293.0542743100,125477.7174244020,system,2025-07-09 20:25:32.165,system,2025-07-09 20:25:32.165
