"objectid","crtr_ymd","sigun_nm","sgg_nm","emd_cd","emd_nm","emd_ppltn_cnt","age5udr_ppltn_cnt","snctz_ppltn_cnt","pwdbs_ppltn_cnt","hril_ppltn_cnt","chds_ppltn_cnt","mm_avg_earn_amt","aninc20mw_orls_ppltn_cnt","age5udr_ppltn_rt","snctz_ppltn_rt","pwdbs_ppltn_rt","hril_ppltn_rt","chds_ppltn_rt","aninc20mw_orls_ppltn_rt","age5udr_ppltn_idx","snctz_ppltn_idx","pwdbs_ppltn_idx","hril_ppltn_idx","chds_ppltn_idx","mm_avg_earn_idx","aninc20mw_orls_ppltn_idx","age5udr_ppltn_scr","snctz_ppltn_scr","pwdbs_ppltn_scr","hril_ppltn_scr","chds_ppltn_scr","mm_avg_earn_scr","aninc20mw_orls_ppltn_scr","vsp_vul_scr","hlth_vul_scr","ecny_vul_scr","clim_vul_snths_scr","age5udr_ppltn_scr_rnk","snctz_ppltn_scr_rnk","pwdbs_ppltn_scr_rnk","hril_ppltn_scr_rnk","chds_ppltn_scr_rnk","mm_avg_earn_scr_rnk","aninc20mw_orls_ppltn_scr_rnk","vsp_vul_scr_rnk","hlth_vul_scr_rnk","ecny_vul_scr_rnk","clim_vul_snths_scr_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
149,"20240630",수원시,장안구,"31011570  ",정자2동,38389,1113,5448,836,30,262,3547261,18,0.028992680,0.141915653,0.021777072,0.000781474,0.006824872,17.831574142,0.0124122854,0.0576340261,0.0093561530,0.0003392572,0.0029539354,6.5498933193,1.2748866245,70.0794782670,74.1038169591,87.8134181247,90.3960181585,96.3803630017,53.4132978628,49.1518422294,77.3322377836,93.3881905801,51.2825700461,74.0009994699,178,434,455,175,196,398,317,473,200,375,397,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
360,"20240630",연천군,"","31550120  ",전곡읍,17694,439,4322,788,11,73,2074955,44,0.024810670,0.244263592,0.044534871,0.000621680,0.004125692,43.819159026,0.0106436386,0.0949123936,0.0189229430,0.0002699082,0.0017880794,6.3170089921,1.6514637033,74.3429021771,51.9246026973,72.3275901133,92.3592108453,97.8483810645,1.7828128222,18.9353138941,66.1983649959,95.1037959549,10.3590633582,57.2204081030,237,135,85,228,329,2,25,84,283,6,32,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
361,"20240630",연천군,"","31550310  ",군남면,2961,11,1260,197,1,7,3381740,21,0.003714961,0.425531915,0.066531577,0.000337724,0.002364066,20.718935590,0.0016103977,0.1539769448,0.0279737183,0.0001466468,0.0010254892,6.5291403883,1.3368385374,96.1180445150,16.7834357590,57.6770385663,95.8485980822,98.8086164207,48.8123704314,44.1808234472,56.8595062801,97.3286072514,46.4965969393,66.8949034903,595,13,15,378,497,335,225,17,462,291,159,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
156,"20240630",수원시,장안구,"31011600  ",조원1동,28176,490,5546,848,11,124,3092507,21,0.017390687,0.196834185,0.030096536,0.000390403,0.004400909,20.724092100,0.0074877579,0.0780339854,0.0128779268,0.0001695169,0.0019070969,6.4903108791,1.3369416353,81.9503325736,61.9666151786,82.1126989729,95.2011729323,97.6985170811,40.2038632727,44.1725508706,75.3432155750,96.4498450067,42.1882070717,71.3270892178,406,245,311,345,314,210,224,376,381,212,273,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
45,"20240630",수원시,장안구,"31011610  ",연무동,17323,333,4178,608,8,122,2849315,28,0.019222998,0.241182243,0.035097847,0.000461814,0.007042660,27.884609028,0.0082692148,0.0938355538,0.0149814052,0.0002005169,0.0030478684,6.4547405652,1.4606664935,80.0665862574,52.5652815307,78.7077841623,94.3235981387,96.2620848554,32.3179201453,34.2448736660,70.4465506502,95.2928414971,33.2813969057,66.3402630176,365,141,167,307,188,84,99,152,298,92,146,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
46,"20240630",수원시,장안구,"31011620  ",정자3동,39136,753,3786,659,12,222,3832573,17,0.019240597,0.096739575,0.016838716,0.000306623,0.005672527,16.978820957,0.0082767135,0.0401035149,0.0072520737,0.0001331443,0.0024565860,6.5834905791,1.2547612075,80.0485101022,84.5338060324,91.2193056055,96.2308384572,97.0066134892,60.8618146568,50.7667048069,85.2672072467,96.6187259732,55.8142597319,79.2333976506,362,558,520,402,246,484,361,594,391,445,536,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
159,"20240630",수원시,장안구,"31011630  ",조원2동,17606,383,3128,337,5,62,3793873,15,0.021753948,0.177666705,0.019141202,0.000283994,0.003521527,15.406931334,0.0093463243,0.0710223967,0.0082343596,0.0001233196,0.0015266931,6.5790828994,1.2150273605,77.4701523805,66.1382444567,89.6292726908,96.5089653447,98.1775125050,59.8846315093,53.9549469520,77.7458898427,97.3432389249,56.9197892307,77.3363059994,297,302,485,418,388,474,438,490,465,467,495,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
47,"20240630",수원시,권선구,"31012520  ",세류1동,9698,302,1703,257,8,50,3307447,16,0.031140441,0.175603217,0.026500309,0.000824912,0.005155702,16.168593844,0.0133178202,0.0702607659,0.0113590846,0.0003581072,0.0022333407,6.5194930889,1.2347347267,67.8966349256,66.5913858769,84.5712591274,89.8623975597,97.2877186394,46.6735629183,52.3736287519,73.0197599766,93.5750580996,49.5235958351,72.0394713038,146,316,377,162,272,315,395,242,208,346,309,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
48,"20240630",수원시,권선구,"31012530  ",세류2동,22615,344,4478,761,29,319,2961248,20,0.015211143,0.198010170,0.033650232,0.001282335,0.014105682,19.678565671,0.0065563760,0.0784605049,0.0143736065,0.0005565541,0.0060832161,6.4714748884,1.3155204115,84.1954818616,61.7128522685,79.6916319874,84.2445934724,92.4400475364,36.0279217425,45.8913889372,75.1999887058,88.3423205044,40.9596553398,68.1673215167,442,244,184,98,95,138,266,363,96,189,178,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
49,"20240630",수원시,권선구,"31012540  ",세류3동,17680,238,3780,575,26,124,3000069,19,0.013461538,0.213800905,0.032522624,0.001470588,0.007013575,19.024225813,0.0058072716,0.0841474570,0.0138995766,0.0006381992,0.0030353249,6.4771313497,1.3015557342,86.0012407091,58.3293315773,80.4589474096,81.9333153927,96.2778792882,37.2819599306,47.0119140335,74.9298398986,89.1055973404,42.1469369821,68.7274580737,485,194,200,85,190,162,283,352,107,211,197,system,2025-06-05 13:47:01.121,system,2025-06-05 13:47:01.121
