"objectid","crtr_ymd","sigun_cd","sigun_nm","sigun_ppltn_cnt","age5udr_ppltn_cnt","snctz_ppltn_cnt","pwdbs_ppltn_cnt","hril_ppltn_cnt","chds_ppltn_cnt","mm_avg_earn_amt","aninc20mw_orls_ppltn_cnt","age5udr_ppltn_rt","snctz_ppltn_rt","pwdbs_ppltn_rt","hril_ppltn_rt","chds_ppltn_rt","sigun_mm_avg_earn_amt","aninc20mw_orls_ppltn_rt","age5udr_ppltn_idx","snctz_ppltn_idx","pwdbs_ppltn_idx","hril_ppltn_idx","chds_ppltn_idx","mm_avg_earn_idx","aninc20mw_orls_ppltn_idx","age5udr_ppltn_scr","snctz_ppltn_scr","pwdbs_ppltn_scr","hril_ppltn_scr","chds_ppltn_scr","mm_avg_earn_scr","aninc20mw_orls_ppltn_scr","vsp_vul_scr","hlth_vul_scr","ecny_vul_scr","clim_vul_snths_scr","age5udr_ppltn_scr_rnk","snctz_ppltn_scr_rnk","pwdbs_ppltn_scr_rnk","hril_ppltn_scr_rnk","chds_ppltn_scr_rnk","mm_avg_earn_scr_rnk","aninc20mw_orls_ppltn_scr_rnk","vsp_vul_scr_rnk","hlth_vul_scr_rnk","ecny_vul_scr_rnk","clim_vul_snths_scr_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
1,"20240630","31010",수원시,1196959,33243,162893,25472,1099,6632,3675156,17,0.027772881,0.136089039,0.021280595,0.000918160,0.005540708,3675155.53,16.694484084,0.0118971542,0.0554123698,0.0091450802,0.0003985689,0.0023996570,6.5652758408,1.2478379045,63.4349133880,84.9420155913,84.3825744079,63.8310607323,88.4742004912,51.9562771932,37.2706858086,77.5865011291,76.1526306117,44.6134815009,66.1175377472,14,27,29,6,21,24,21,31,11,23,21,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
2,"20240630","31020",성남시,917192,24285,157114,20302,580,8313,4114862,11,0.026477553,0.171298921,0.022134951,0.000632365,0.009063533,4114861.87,10.607675317,0.0113494568,0.0686677432,0.0095082389,0.0002745458,0.0039185113,6.6143553669,1.0647452518,67.9434533652,67.6985990472,82.1690373447,78.3940073936,76.6696752684,72.5698688238,61.2549827321,72.6036965857,77.5318413310,66.9124257780,72.3493212316,16,16,28,12,7,30,30,28,12,30,30,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
3,"20240630","31030",의정부시,461193,11996,84331,12870,135,1669,3099777,24,0.026010802,0.182854033,0.027905888,0.000292719,0.003618875,3099777.39,23.988372543,0.0111519333,0.0729311549,0.0119533536,0.0001271077,0.0015688206,6.4913306465,1.3977379721,69.5694285967,62.1524872027,67.2654905578,95.7063651055,94.9314551959,20.8990082308,17.6344651479,66.3291354524,95.3189101507,19.2667366894,60.3049274308,18,8,14,27,27,9,8,18,30,9,18,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
4,"20240630","31040",안양시,546542,15188,93317,12236,121,3192,3657928,15,0.027789264,0.170740766,0.022388255,0.000221392,0.005840356,3657927.99,15.259968323,0.0119040769,0.0684607412,0.0096158519,0.0000961387,0.0025290564,6.5632352708,1.2111196952,63.3779267428,67.9678801613,81.5131108583,99.3427854242,87.4685095910,51.0992298437,42.0806026513,70.9529725875,93.4056475076,46.5899162475,70.3161787809,13,18,25,30,20,23,25,25,28,25,28,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
5,"20240630","31050",부천시,774474,17995,139208,21277,1682,24974,3287984,21,0.023235125,0.179745221,0.027472840,0.002171797,0.032246402,3287984.34,20.576681026,0.0099754398,0.0717882266,0.0117703505,0.0009421765,0.0137833778,6.5169298726,1.3339846413,79.2540970715,63.6392796477,68.3809372376,0.0000000000,0.0000000000,31.6507826640,25.9858587834,70.4247713189,0.0000000000,28.8183207237,33.0810306809,22,9,16,1,1,13,13,23,1,12,1,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
6,"20240630","31060",광명시,278458,7242,48164,7189,96,1053,3575108,17,0.026007513,0.172966839,0.025817179,0.000344756,0.003781540,3575107.96,16.642480165,0.0111505409,0.0692857343,0.0110699677,0.0001496997,0.0016392044,6.5532892820,1.2465596379,69.5808909437,66.8946777801,72.6499342521,93.0535812811,94.3844327499,46.9218758893,37.4381328685,69.7085009920,93.7190070155,42.1800043789,68.5358374621,19,13,22,25,26,22,22,22,29,22,23,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
7,"20240630","31070",평택시,594191,20474,80367,16048,768,3803,3441263,17,0.034456934,0.135254489,0.027008151,0.001292514,0.006400299,3441262.61,16.715717729,0.0147124150,0.0550932278,0.0115738903,0.0005609691,0.0027707571,6.5367179425,1.2483587519,40.2602267489,85.3571753642,69.5784082919,44.7618350796,85.5900133346,39.9618489437,37.2024571889,65.0652701350,65.1759242071,38.5821530663,56.2744491361,5,28,18,3,16,17,20,12,3,20,13,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
8,"20240630","31080",동두천시,87499,1515,21854,3802,77,699,2764212,33,0.017314484,0.249762854,0.043451925,0.000880010,0.007988663,2764212.37,32.571872620,0.0074552276,0.0968276124,0.0184724447,0.0003820154,0.0034556474,6.4415715634,1.5259755666,100.0000000000,31.0664849141,27.5301037929,65.7747893042,80.2670501093,0.0000000000,0.8359290012,52.8655295690,73.0209197068,0.4179645006,42.1014712588,31,6,4,8,9,1,2,7,7,1,4,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
9,"20240630","31090",안산시,625274,13980,90949,20616,293,2784,3153181,22,0.022358198,0.145454633,0.032971145,0.000468595,0.004452448,3153181.39,21.681803443,0.0096030839,0.0589778930,0.0140881903,0.0002034604,0.0019293816,6.4987490922,1.3556775826,82.3192595637,80.3037605490,54.2531608234,86.7409414442,92.1291781633,24.0147842494,23.1441830693,72.2920603120,89.4350598038,23.5794836593,61.7688679250,25,26,9,20,24,10,11,27,24,11,20,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
10,"20240630","31100",고양시,1072125,27778,178693,23952,547,6356,3676227,16,0.025909292,0.166671797,0.022340679,0.000510202,0.005928413,3676227.46,15.772676376,0.0111089635,0.0669486993,0.0095956416,0.0002215213,0.0025670753,6.5654024927,1.2246023675,69.9231476565,69.9348386397,81.6362974904,84.6202076970,87.1730268245,52.0094714538,40.3144344807,73.8314279289,85.8966172608,46.1619529672,68.6299993856,20,20,26,18,18,25,24,29,18,24,24,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
