"crtr_yr","admdst_se_cd","admdst_cd","admdst_nm","ldsld_dngr_grd1_area","ldsld_dngr_grd2_area","ldsld_dngr_grd3_area","ldsld_dngr_grd4_area","ldsld_dngr_grd5_area","ldsld_dngr_grd1_area_rt","ldsld_dngr_grd2_area_rt","ldsld_dngr_grd3_area_rt","ldsld_dngr_grd4_area_rt","ldsld_dngr_grd5_area_rt","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2023",ADM001,"31",경기도,396379300.000000000,797278400.000000000,932336400.000000000,1215311700.000000000,644239100.000000000,0.10,0.20,0.23,0.30,0.16,system,2025-06-11 11:27:35.454,system,2025-06-11 11:27:35.454
"2023",ADM002,"31010",수원시,1473100.000000000,3879200.000000000,5352100.000000000,7191000.000000000,6365100.000000000,0.06,0.16,0.22,0.30,0.26,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31020",성남시,3472900.000000000,10199500.000000000,14230600.000000000,22932600.000000000,19469600.000000000,0.05,0.15,0.20,0.33,0.28,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31030",의정부시,7811300.000000000,8924400.000000000,10531300.000000000,11075400.000000000,7568200.000000000,0.17,0.19,0.23,0.24,0.16,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31040",안양시,3351200.000000000,5577500.000000000,7146200.000000000,8305500.000000000,5443600.000000000,0.11,0.19,0.24,0.28,0.18,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31050",부천시,308900.000000000,865300.000000000,1679500.000000000,2193800.000000000,2426100.000000000,0.04,0.12,0.22,0.29,0.32,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31060",광명시,428300.000000000,1696800.000000000,2369000.000000000,3845200.000000000,3391400.000000000,0.04,0.14,0.20,0.33,0.29,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31070",평택시,1997300.000000000,5969700.000000000,9008200.000000000,11145200.000000000,39354300.000000000,0.03,0.09,0.13,0.17,0.58,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31080",동두천시,1991700.000000000,4668100.000000000,6478100.000000000,10216400.000000000,3433100.000000000,0.07,0.17,0.24,0.38,0.13,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31090",안산시,1504000.000000000,6177800.000000000,9814900.000000000,13559400.000000000,12911300.000000000,0.03,0.14,0.22,0.31,0.29,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
