"objectid","sgg_cd","sgg_nm","crtr_yr","dgnppn_idx","pmpp_idx","flod_dngr_bdst_idx","flod_dngr_ppltn_idx","flod_dngr_oalp_idx","flod_dngr_fmld_idx","flod_dngr_oldbuld_idx","flod_dngr_dpptn_idx","flod_dngr_cltv_area_idx","dstpvt_fclt_dnsy_idx","acml_dstpvt_bgt_idx","flod_dngr_idx","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
272,"41590",경기도 화성시,"2016",0.4000000000,0.2000000000,0.7000000000,0.6000000000,0.8000000000,0.9000000000,0.5000000000,0.5000000000,0.7000000000,0.5000000000,1.0000000000,0.5552992300,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
273,"41610",경기도 광주시,"2016",0.7000000000,0.4000000000,0.7000000000,0.7000000000,0.7000000000,0.6000000000,0.7000000000,0.7000000000,0.7000000000,0.9000000000,1.0000000000,0.7171936500,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
274,"41630",경기도 양주시,"2016",0.8000000000,0.8000000000,0.5000000000,0.2000000000,0.3000000000,0.6000000000,0.2000000000,0.2000000000,0.5000000000,0.2000000000,0.8000000000,0.6458135400,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
275,"41650",경기도 포천시,"2016",0.5000000000,0.9000000000,0.6000000000,0.3000000000,0.4000000000,0.7000000000,0.3000000000,0.3000000000,0.8000000000,0.6000000000,1.0000000000,0.9264486400,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
276,"41670",경기도 여주시,"2016",0.4000000000,0.1000000000,0.8000000000,0.3000000000,0.5000000000,0.9000000000,0.2000000000,0.3000000000,1.0000000000,0.9000000000,1.0000000000,0.6550413900,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
277,"41800",경기도 연천군,"2016",0.5000000000,0.9000000000,0.4000000000,0.2000000000,0.1000000000,0.7000000000,0.5000000000,0.2000000000,0.7000000000,1.0000000000,1.0000000000,0.9481612200,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
278,"41820",경기도 가평군,"2016",0.5000000000,1.0000000000,0.7000000000,0.4000000000,0.2000000000,0.6000000000,0.4000000000,0.4000000000,0.6000000000,0.8000000000,1.0000000000,0.9394761800,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
279,"41830",경기도 양평군,"2016",0.6000000000,0.6000000000,0.8000000000,0.6000000000,0.5000000000,0.8000000000,0.7000000000,0.5000000000,0.7000000000,1.0000000000,1.0000000000,0.8208712200,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
280,"41110",경기도 수원시,"2017",0.6000000000,0.6000000000,0.5000000000,0.7000000000,0.7000000000,0.6000000000,0.9000000000,0.7000000000,0.4000000000,0.3000000000,0.5000000000,0.4518930700,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
281,"41130",경기도 성남시,"2017",0.7000000000,0.4000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1000000000,0.1000000000,0.3000000000,0.4000000000,0.8000000000,0.4137603500,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
