"objectid","sigun_nm","sigun_cd","crtr_yr","flod_dngr_idx","flod_dng_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
16,화성시,"41590","2016",0.5552992300,16,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
41,광주시,"41610","2016",0.7171936500,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
9,광주시,"41610","2016",0.7171936500,9,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
12,양주시,"41630","2016",0.6458135400,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
4,포천시,"41650","2016",0.9264486400,4,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
11,여주시,"41670","2016",0.6550413900,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
2,연천군,"41800","2016",0.9481612200,2,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
3,가평군,"41820","2016",0.9394761800,3,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
7,양평군,"41830","2016",0.8208712200,7,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
52,수원시,"41110","2017",0.4518930700,23,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
54,성남시,"41130","2017",0.4137603500,25,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
48,의정부시,"41150","2017",0.5156737700,18,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
57,안양시,"41170","2017",0.3418374300,28,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
56,부천시,"41190","2017",0.3635500100,27,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
51,광명시,"41210","2017",0.4619351300,22,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
39,평택시,"41220","2017",0.7249287600,9,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
60,동두천시,"41250","2017",0.2407382300,31,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
242,안산시,"41270","2017",0.5114669600,19,system,2025-07-03 13:50:31.214,system,2025-07-03 13:50:31.214
35,고양시,"41280","2017",0.8083864800,5,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
53,과천시,"41290","2017",0.4411724800,24,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
50,구리시,"41310","2017",0.4831049000,21,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
33,남양주시,"41360","2017",0.8419052800,3,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
58,오산시,"41370","2017",0.3288098800,29,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
44,시흥시,"41390","2017",0.5737549200,14,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
59,군포시,"41410","2017",0.3023476700,30,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
55,의왕시,"41430","2017",0.3661283800,26,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
49,하남시,"41450","2017",0.4852761600,20,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
45,용인시,"41460","2017",0.5728049900,15,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
40,파주시,"41480","2017",0.7189578000,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
38,이천시,"41500","2017",0.7408060800,8,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
37,안성시,"41550","2017",0.7770389500,7,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
43,김포시,"41570","2017",0.6425566600,13,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
46,화성시,"41590","2017",0.5554349300,16,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
47,양주시,"41630","2017",0.5497353800,17,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
36,포천시,"41650","2017",0.7963088600,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
34,여주시,"41670","2017",0.8136789300,4,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
42,연천군,"41800","2017",0.7076944000,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
