"objectid","crtr_yr","stdg_cd","stdg_nm","sgg_cd","sgg_nm","sigun_cd","sigun_nm","flod_dngr_idx","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
5224,"2016","41111129  ",파장동,"41111",수원시 장안구,"41110",수원시,0.3183881752,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5225,"2016","41830350  ",서종면,"41830",양평군,"41830",양평군,0.7690637854,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5226,"2016","41830360  ",단월면,"41830",양평군,"41830",양평군,0.6554430618,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5227,"2016","41830370  ",청운면,"41830",양평군,"41830",양평군,0.3002176797,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5228,"2016","41830380  ",양동면,"41830",양평군,"41830",양평군,0.2465451408,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5229,"2016","41830395  ",지평면,"41830",양평군,"41830",양평군,0.3263505255,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5230,"2016","41830400  ",용문면,"41830",양평군,"41830",양평군,0.6437161442,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5231,"2016","41830410  ",개군면,"41830",양평군,"41830",양평군,0.3647472705,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5232,"2016","41111130  ",정자동,"41111",수원시 장안구,"41110",수원시,0.6888171637,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5233,"2016","41115120  ",팔달로1가,"41115",수원시 팔달구,"41110",수원시,0.7629117171,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5234,"2016","41111135  ",송죽동,"41111",수원시 장안구,"41110",수원시,0.5506955010,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5235,"2016","41800380  ",장남면,"41800",연천군,"41800",연천군,0.8916617015,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5236,"2018","41830380  ",양동면,"41830",양평군,"41830",양평군,0.4129156793,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5237,"2018","41830395  ",지평면,"41830",양평군,"41830",양평군,0.3775577980,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5238,"2018","41830400  ",용문면,"41830",양평군,"41830",양평군,0.4139081623,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5239,"2018","41830410  ",개군면,"41830",양평군,"41830",양평군,0.3943480836,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5240,"2016","41111131  ",이목동,"41111",수원시 장안구,"41110",수원시,0.3087076206,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5241,"2016","41111132  ",율전동,"41111",수원시 장안구,"41110",수원시,0.6066370334,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5242,"2016","41820250  ",가평읍,"41820",가평군,"41820",가평군,0.9661799150,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5243,"2016","41820310  ",설악면,"41820",가평군,"41820",가평군,0.8378797638,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5244,"2016","41820325  ",청평면,"41820",가평군,"41820",가평군,0.8869566113,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5245,"2018","41111130  ",정자동,"41111",수원시 장안구,"41110",수원시,0.8833412461,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5246,"2022","41830380  ",양동면,"41830",양평군,"41830",양평군,0.8829781877,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5247,"2016","41111133  ",천천동,"41111",수원시 장안구,"41110",수원시,0.5591402841,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5248,"2016","41820330  ",상면,"41820",가평군,"41820",가평군,0.8844796635,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
