"objectid","sigun_cd","sigun_nm","crtr_ymd","wtr_sply_nvl","wtr_sply_scr","wtr_sply_crnc_wrth_amt","wtqy_n_ajst_nvl","wtqy_n_ajst_scr","wtqy_n_ajst_crnc_wrth_amt","wtqy_p_ajst_nvl","wtqy_p_ajst_scr","wtqy_p_ajst_crnc_wrth_amt","soil_ersn_ajst_nvl","soil_ersn_ajst_scr","soil_ersn_ajst_crnc_wrth_amt","cbn_strg_ajst_nvl","cbn_strg_ajst_scr","cbn_strg_ajst_crnc_wrth_amt","cbn_abpn_ajst_nvl","cbn_abpn_ajst_scr","cbn_abpn_ajst_crnc_wrth_amt","air_ajst_nvl","air_ajst_scr","air_ajst_crnc_wrth_amt","cty_uhtln_ajst_nvl","cty_uhtln_ajst_scr","cty_uhtln_ajst_crnc_wrth_amt","bird_dvsty_nvl","bird_dvsty_scr","hbtt_qlty_nvl","hbtt_qlty_scr","scvl_nvl","scvl_scr","scvl_crnc_wrth_amt","ecotrm_nvl","ecotrm_scr","ecotrm_crnc_wrth_amt","sply_srvc_scr","ajst_srvc_scr","sprt_srvc_scr","cult_srvc_scr","ecosys_srvc_snths_scr","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","ppltn_cnt","area"
2,"31190",용인시,"2024    ",620.8893881899,65.6607881717,937504441114.21,0.1821009678,5.7841695020,0.00,0.0130405613,7.3886860542,16773964730.95,3.1167029415,7.0346298814,291613401972.11,2.5623088990,9.2736904808,0.00,0.0956310853,6.6829130473,66341022382.40,1.6799999475,7.1428571429,36149042964.93,0.7483147688,9.9499338586,116361365714.36,19.9686026454,8.9353867027,16.5426636213,28.1032804358,4.6792384491,31.0311746124,0.00,0.9824732149,0.2593131017,296978175981.75,65.6607881717,53.2568799673,37.0386671385,31.2904877141,187.2468229915,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,1082468,591302055.955700000
10,"31150",시흥시,"2024    ",535.3893482626,33.7386992504,193273437119.45,0.2428911012,9.1192829305,0.00,0.0201029349,13.0242335612,5787906489.77,1.9353002265,2.6541679750,41860808068.31,1.4356503332,2.1666242234,0.00,0.1006264750,9.0342348881,12982918201.95,1.6799999475,7.1428571429,4080978084.32,0.5575960181,4.6673194927,12900491505.55,25.1064568097,32.5293731709,13.0190667439,10.4453517311,3.5610045797,12.9760309259,0.00,76.6581827907,20.2889788739,5539814112530.86,33.7386992504,47.8087202137,42.9747249020,33.2650097998,157.7871541659,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,518716,141535786.391000000
3,"31240",화성시,"2024    ",500.2697125962,20.6265166879,1011790666366.91,0.2303247355,8.4298576452,0.00,0.0209019183,13.6617966890,32781650152.65,1.7325709723,1.9024786785,201519869184.54,1.4201283809,2.0687103153,0.00,0.0982734205,7.9266559290,83646192582.56,1.6799999475,7.1428571429,20425447379.94,0.6790855626,8.0323919389,114610139284.84,28.4288208690,47.7862898037,14.2420700714,16.5742326201,3.7577458126,16.1526394390,0.00,1.4441293517,0.3815031436,584707707447.12,20.6265166879,49.1647483387,64.3605224238,16.5341425825,150.6859300328,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,953615,793479444.189900000
11,"31230",김포시,"2024    ",445.0237039556,0.0000000000,319099316602.03,0.1150151425,2.1036571456,0.00,0.0097298951,4.7468806804,5349073118.15,1.9469042155,2.6971938044,79479516799.43,1.2384087966,0.9224063992,0.00,0.1062667065,11.6890827135,25550508798.15,1.6799999475,7.1428571429,7240160729.01,0.5647182133,4.8645932845,25197184383.08,28.7570628249,49.2936382062,14.8111485869,19.4260764045,3.7808510958,16.5257002259,0.00,47.8272555396,12.6580780211,6865167713856.99,0.0000000000,34.1666711705,68.7197146107,29.1837782469,132.0701640282,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,486017,280828910.959000000
12,"31250",광주시,"2024    ",697.1401722632,94.1295972106,764891903716.46,0.1694112130,5.0879747491,0.00,0.0106356292,5.4696274333,9897487733.60,3.9263363523,10.0366276502,266113222705.19,3.3506269722,14.2464736718,0.00,0.0903017481,4.1744026735,50499043851.76,1.6799999475,7.1428571429,34367645254.77,0.7856608412,10.9843622926,100522398735.46,19.1802294375,5.3150296034,18.4125028721,37.4736736241,5.2182337292,39.7338597066,0.00,2.4635707129,0.6513264442,541110105226.51,94.1295972106,57.1423256134,42.7887032275,40.3851861509,234.4458122024,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,393286,429647723.135000000
13,"31180",하남시,"2024    ",628.2681647180,68.4157103993,148607001992.56,0.1319112421,3.0306235057,0.00,0.0092871017,4.3935457609,1778900060.34,3.2562274227,7.5519654750,45618985006.45,3.0377312034,12.2726982723,0.00,0.0966986641,7.1854206660,9535946797.18,1.6799999475,7.1428571429,5576466671.55,0.6635838766,7.6030192179,15834251024.68,22.3184149457,19.7261639113,17.2136750016,31.4659440790,4.6143199675,29.9829927020,0.00,9.4972888494,2.5129941339,449718239451.37,68.4157103993,49.1801300407,51.1921079903,32.4959868359,201.2839352662,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,330003,92761572.620100000
14,"31060",광명시,"2024    ",644.7930607610,74.5854057743,63424214050.41,0.2324349976,8.5456324140,0.00,0.0167838323,10.3756962502,1347964261.43,3.6715457068,9.0919026188,21567183881.29,1.7863259477,4.3787183776,0.00,0.1059095165,11.5209539647,3244842720.98,1.6799999475,7.1428571429,1474422726.98,0.5148532075,3.4834097602,2979604632.94,22.1504848548,18.9549975515,12.7777619247,9.2360921473,3.7425364910,15.9070678330,0.00,5.4886000329,1.4519839679,108073338081.75,74.5854057743,54.5391705285,28.1910896988,17.3590518009,174.6747178025,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,278458,38521838.606400000
15,"31160",군포시,"2024    ",630.5438726099,69.2653632152,58567507785.13,0.2146384585,7.5692654706,0.00,0.0149226122,8.8905023198,1166798113.44,3.0671860829,6.8510288874,17446231001.87,2.3603138606,7.9994871279,0.00,0.1035752488,10.4222179565,3713890715.83,1.6799999475,7.1428571429,1989618940.35,0.6280132673,6.6177683669,5689468478.65,18.0228223576,0.0000000000,15.0036702591,20.3908672363,4.1532872029,22.5391001172,0.00,34.2287792042,9.0588658361,636433302688.38,69.2653632152,55.4931272721,20.3908672363,31.5979659533,176.7473236769,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,258991,36376966.972400000
4,"31020",성남시,"2024    ",712.8634438236,100.0000000000,257280676343.03,0.1764000812,5.4714032273,0.00,0.0097560756,4.7677719015,2930969341.97,3.2529719925,7.5398948340,71148850199.28,2.8631127556,11.1711889811,0.00,0.0970200216,7.3366831250,13691119994.75,1.6799999475,7.1428571429,8299868583.64,0.6032698921,5.9324151499,19610250140.56,19.9133740398,8.6817666251,15.0106375383,20.4257826150,4.4494170965,27.3204503555,0.00,30.5188586779,8.0769329464,2205102723599.75,100.0000000000,49.3622143617,29.1075492400,35.3973833019,213.8671469037,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,917192,141396197.646400000
5,"31050",부천시,"2024    ",608.6567680858,61.0936466003,83222132066.68,0.1919776032,6.3260288070,0.00,0.0132196430,7.5315875041,1486363990.53,2.3420951176,4.1625016713,19310655789.49,1.5523661461,2.9028783477,0.00,0.0871476247,2.6897618801,2530734636.09,1.6799999475,7.1428571429,1057016031.42,0.3890913192,0.0000000000,2523153519.11,20.1349702015,9.6993776105,10.9347221211,0.0000000000,2.7573423368,0.0000000000,0.00,188.9118085627,50.0000000000,5170882026442.63,61.0936466003,30.7556153530,9.6993776105,50.0000000000,151.5486395639,system,2025-05-19 20:36:50.260,system,2025-05-19 20:36:50.260,774474,53552425.267600000
