"objectid","crtr_ymd","sigun_nm","sgg_nm","emd_cd","emd_nm","ppltn1_park_grbt_area","sqmt6_crtr_diff_area","yr5_park_mng_bgt_amt","anl_park_vst_nope","park_srvc_ecld_ppltn_cnt","park_srvc_bnt_ppltn_rt","sqar_grbt_park_mix_evl_scr","grbt_area","anavg_park_mng_bgt_amt","anl_park_vst_nope_rt","park_srvc_ecld_ppltn_rt","park_srvc_bnt_ppltn_rt_wgvl_scr","grbt_area_rt","ppltn1_park_grbt_area_idx","sqmt6_crtr_diff_area_idx","sqmt1_park_mng_bgt_idx","anl_park_vst_nope_rt_idx","park_srvc_ecld_ppltn_rt_idx","park_srvc_bnt_ppltn_rt_idx","sqar_grbt_park_mix_idx","grbt_area_rt_idx","ppltn1_park_grbt_area_scr","sqmt6_crtr_diff_area_scr","sqmt1_park_mng_bgt_scr","anl_park_vst_nope_rt_scr","park_srvc_ecld_ppltn_rt_scr","park_srvc_bnt_ppltn_rt_scr","sqar_grbt_park_mix_scr","grbt_area_rt_scr","park_snths_scr","ppltn1_park_grbt_area_rnk","sqmt6_crtr_diff_area_rnk","sqmt1_park_mng_bgt_rnk","anl_park_vst_nope_rt_rnk","park_srvc_ecld_ppltn_rt_rnk","park_srvc_bnt_ppltn_rt_rnk","sqar_grbt_park_mix_rnk","grbt_area_rt_rnk","park_snths_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
1,"20240630",용인시,기흥구,"31192670  ",동백1동,11.722208080,5.722208080,755051428,1495.9883561900,102610.7795050000,11.569014740,0.5000000000,416098.855591000,151010285.59,0.008634630,0.407745610,11.5690147400,0.103667800,0.3334650800,0.3334650800,0.8504844900,0.0774522300,0.4938704900,0.3621299500,0.5849625000,0.3263693200,33.3465078900,33.3465078900,85.0484491400,7.7452227900,49.3870487600,36.2129947700,58.4962500700,32.6369318900,42.0274891500,229,229,150,162,319,312,240,149,227,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
69,"20240630",성남시,수정구,"31021640  ",신촌동,2.258253260,-3.741746740,17883002,0.0000000000,9220.3414245700,43.904603630,0.0000000000,44404.741216700,3576600.46,0.000000000,0.605970940,43.9046036300,0.008912930,0.1548690400,0.1548690400,0.6814550200,0.0000000000,0.6841160100,0.5442948500,0.0000000000,0.0293597700,15.4869036800,15.4869036800,68.1455021000,0.0000000000,68.4116005400,54.4294853900,0.0000000000,2.9359773200,28.1120465900,464,464,520,483,166,84,493,530,439,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
2,"20240630",용인시,기흥구,"31192680  ",동백2동,28.060307300,22.060307300,1523594840,2528.3222738900,50033.6344385000,18.600801940,0.7368421100,298495.587653000,304718968.02,0.017853940,0.646683700,18.6008019400,0.064003280,0.4417672300,0.4417672300,0.8821884300,0.1594205600,0.7202691000,0.4256986600,0.7964666100,0.2052682600,44.1767233600,44.1767233600,88.2188431500,15.9420561100,72.0269097400,42.5698655800,79.6466605900,20.5268255000,50.9105759200,88,88,70,63,137,206,147,244,72,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
3,"20240630",용인시,수지구,"31193560  ",동천동,16.704739120,10.704739120,1717278595,613.1267397400,145942.0660830000,11.314620480,0.3333333300,509108.131982000,343455719.03,0.002531540,0.397419730,11.3146204800,0.030635810,0.3767955900,0.3767955900,0.8875926000,0.0227768800,0.4832388300,0.3592046500,0.4150375000,0.0998437700,37.6795587700,37.6795587700,88.7592602900,2.2776878800,48.3238833600,35.9204646100,41.5037499300,9.9843774300,37.7660676300,166,166,62,341,335,315,297,383,311,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
4,"20240630",용인시,수지구,"31193580  ",상현2동,8.161956740,2.161956740,548014677,360.2335616800,104744.9474810000,14.209431330,0.8000000000,269886.680219000,109602935.37,0.001871670,0.455775660,14.2094313300,0.172317590,0.2904222100,0.2904222100,0.8360115700,0.0168454100,0.5423193500,0.3894096500,0.8479969100,0.5260298100,29.0422212400,29.0422212400,83.6011569300,1.6845411100,54.2319346400,38.9409650900,84.7996906600,52.6029810400,46.7432139900,286,286,194,368,280,270,109,54,144,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
5,"20240630",용인시,수지구,"31193510  ",풍덕천1동,4.766934760,-1.233065240,339011807,2220.4449315400,26462.7158631000,186.217096380,0.4000000000,242313.504222000,67802361.35,0.012809480,0.847339790,186.2170963800,0.127225880,0.2297277000,0.2297277000,0.8143228900,0.1146630000,0.8863175700,0.7485522000,0.4854268300,0.3962517300,22.9727696400,22.9727696400,81.4322894500,11.4663001000,88.6317566400,74.8552200700,48.5426827200,39.6251728400,48.8123701400,397,397,271,102,22,12,283,109,111,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
6,"20240630",용인시,수지구,"31193550  ",죽전2동,0.061168600,-5.938831400,2221152,0.0000000000,89522.7222199000,1.404411670,0.8000000000,140601.849482000,444230.36,0.000000000,0.101457210,1.4044116700,0.127028530,0.0077842500,0.0077842500,0.5872600800,0.0000000000,0.1395501600,0.1255112800,0.8479969100,0.3956723900,0.7784253300,0.7784253300,58.7260082400,0.0000000000,13.9550162500,12.5511281400,84.7996906600,39.5672393300,26.3944916600,565,565,558,483,518,518,109,110,472,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
7,"20240630",용인시,수지구,"31193590  ",성복동,12.437892360,6.437892360,1379942577,877.8465752200,174085.0709300000,17.600700340,0.3333333300,705486.342445000,275988515.43,0.002778660,0.448965280,17.6007003400,0.141759650,0.3406407900,0.3406407900,0.8777162400,0.0249972400,0.5355476900,0.4182061900,0.4150375000,0.4386397300,34.0640788100,34.0640788100,87.7716244800,2.4997239100,53.5547694800,41.8206186700,41.5037499300,43.8639731200,42.3928271500,215,215,86,329,287,218,297,93,221,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
8,"20240630",용인시,수지구,"31193600  ",죽전1동,6.663456840,0.663456840,381830349,1294.4763836600,22360.1349857000,55.478489600,0.6666666700,292813.179637000,76366069.83,0.008812530,0.847776770,55.4784896000,0.124461450,0.2670059500,0.2670059500,0.8196942400,0.0790410500,0.8866591200,0.5771023500,0.7369655900,0.3881273600,26.7005949500,26.7005949500,81.9694244100,7.9041049700,88.6659119000,57.7102349600,73.6965594200,38.8127356100,50.2700201500,326,326,254,157,21,51,159,113,84,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
9,"20240630",용인시,수지구,"31193620  ",상현1동,0.146382300,-5.853617700,5955898,0.0000000000,53474.9003559000,10.461175050,0.1000000000,142905.469335000,1191179.66,0.000000000,0.313101800,10.4611750500,0.212531650,0.0179114400,0.0179114400,0.6318034700,0.0000000000,0.3933641500,0.3489294700,0.1375035200,0.6376258600,1.7911441500,1.7911441500,63.1803474700,0.0000000000,39.3364145800,34.8929467900,13.7503523800,63.7625864900,27.3131170000,560,560,548,483,395,329,331,24,453,system,2025-06-05 11:15:33.893,system,2025-06-05 11:15:33.893
