"objectid","crtr_ymd","sigun_cd","sigun_nm","ppltn1_park_grbt_area","sqmt6_crtr_diff_area","yr5_park_mng_bgt_amt","anl_park_vst_nope","park_srvc_ecld_ppltn_cnt","park_srvc_bnt_ppltn_rt","sqar_grbt_park_mix_evl_scr","grbt_area","sqmt1_park_mng_bgt_anavg_amt","anl_park_vst_nope_rt","park_srvc_ecld_ppltn_rt","park_srvc_bnt_ppltn_rt_wgvl_scr","grbt_area_rt","ppltn1_park_grbt_area_idx","sqmt6_crtr_diff_area_idx","sqmt1_park_mng_bgt_idx","anl_park_vst_nope_rt_idx","park_srvc_ecld_ppltn_rt_idx","park_srvc_bnt_ppltn_rt_idx","sqar_grbt_park_mix_idx","grbt_area_rt_idx","ppltn1_park_grbt_area_scr","sqmt6_crtr_diff_area_scr","sqmt1_park_mng_bgt_scr","anl_park_vst_nope_rt_scr","park_srvc_ecld_ppltn_rt_scr","park_srvc_bnt_ppltn_rt_scr","sqar_grbt_park_mix_scr","grbt_area_rt_scr","park_snths_scr","ppltn1_park_grbt_area_rnk","sqmt6_crtr_diff_area_rnk","sqmt1_park_mng_bgt_rnk","anl_park_vst_nope_rt_rnk","park_srvc_ecld_ppltn_rt_rnk","park_srvc_bnt_ppltn_rt_rnk","sqar_grbt_park_mix_rnk","grbt_area_rt_rnk","park_snths_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
1,"20240630","31010",수원시,7.822690370,1.822690370,104171976000,71382.8185481000,2728327.6586700000,29.247892380,0.8865979400,10992984.928300000,2159.28,0.011421210,0.436531040,29.2478923800,0.090776090,0.2777663000,0.4094242600,0.7321505200,0.4141782000,0.7010033300,0.8107526800,0.8734744400,1.0000000000,27.7766295200,40.9424263600,73.2150516500,41.4178198400,70.1003333100,81.0752678500,87.3474439900,100.0000000000,65.2343715600,14,14,8,5,9,14,12,1,2,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
2,"20240630","31020",성남시,11.482887950,5.482887950,92129991000,74096.4295884000,2538625.8062700000,47.549439960,0.9024390200,10201681.591200000,1714.43,0.014783890,0.506512590,47.5494399600,0.072045770,0.3861661000,0.5134624500,0.6704414900,0.5404958700,0.5762721900,1.0000000000,0.8915987800,0.7925472200,38.6166095400,51.3462450400,67.0441492100,54.0495874400,57.6272188800,100.0000000000,89.1598783600,79.2547220500,67.1373013200,6,6,15,2,16,1,9,5,1,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
4,"20240630","31040",안양시,3.536870180,-2.463129820,57268664000,23607.0626851000,1207600.0589100000,39.590482920,0.8771929800,3219804.122140000,5876.08,0.008448690,0.432186070,39.5904829200,0.055039390,0.0700171900,0.1455384600,1.0000000000,0.3021664600,0.7089467300,0.9283861200,0.8626417600,0.6010244500,7.0017187300,14.5538459100,100.0000000000,30.2166463100,70.8946729600,92.8386116300,86.2641762400,60.1024454800,57.7340146600,30,30,1,9,7,6,15,9,7,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
9,"20240630","31090",안산시,10.680034010,4.680034010,48175094000,24288.8058905000,1060487.3036700000,39.869606670,0.9700598800,8583203.469000000,1323.72,0.007503170,0.327600310,39.8696066700,0.054844750,0.3654009000,0.4944208200,0.6012688100,0.2664677500,0.9077902000,0.9311271200,0.9673059800,0.5988146800,36.5400897100,49.4420817000,60.1268809200,26.6467746800,90.7790201500,93.1127115200,96.7305977800,59.8814676200,64.1574530100,7,7,21,14,2,5,2,10,3,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
10,"20240630","31100",고양시,6.596318980,0.596318980,70216306000,46820.5786296000,2444684.8846500000,27.266933580,0.8262548300,12224219.176800000,1957.47,0.008316240,0.434223240,27.2669335800,0.045595740,0.2310171400,0.3599830300,0.7059018600,0.2971675400,0.7052194200,0.7836613200,0.8030113200,0.4933343600,23.1017142700,35.9983029900,70.5901856000,29.7167543900,70.5219420700,78.3661320900,80.3011320900,49.3334355500,54.7411998800,20,20,11,10,8,15,20,13,14,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
19,"20240630","31190",용인시,7.352516400,1.352516400,81811471000,30596.8120824000,3209435.4474800000,34.984016190,0.8770053500,19451265.239200000,2033.14,0.005414550,0.567956600,34.9840161900,0.032901330,0.2606600700,0.3917346700,0.7160486500,0.1874917300,0.4714451000,0.8802064600,0.8624250900,0.3470315400,26.0660068500,39.1734671600,71.6048648600,18.7491732900,47.1445101100,88.0206457200,86.2425091800,34.7031536900,51.4630413600,17,17,9,19,22,10,16,17,18,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
25,"20240630","31250",광주시,3.570531580,-2.429468420,4915916000,3408.5162467800,1597640.4028500000,12.092641570,0.9047619000,8013207.119600000,681.13,0.001595430,0.747812180,12.0926415700,0.018592130,0.0723262100,0.1494586800,0.4236336100,0.0426559000,0.1866894400,0.4758290100,0.8942437800,0.1799470100,7.2326212400,14.9458683100,42.3633605200,4.2655902000,18.6689437800,47.5829011200,89.4243778000,17.9947009200,30.3097954900,28,28,30,27,27,24,8,21,28,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
24,"20240630","31240",화성시,13.207550870,7.207550870,97397455000,35453.2915892000,2177180.1754200000,16.798045730,0.8838709700,27535653.981400000,1490.26,0.007590600,0.466137450,16.7980457300,0.039370390,0.4265904600,0.5495991600,0.6329620800,0.2697700400,0.6475087900,0.5986345100,0.8703390700,0.4218106500,42.6590455200,54.9599162700,63.2962079300,26.9770042600,64.7508788800,59.8634507700,87.0339070000,42.1810645300,55.2151843900,3,3,19,13,11,21,13,14,12,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
16,"20240630","31160",군포시,5.363646170,-0.636353830,12931698000,12912.0974244000,403473.8225710000,32.897712100,0.7027027000,2719224.863280000,1805.92,0.009015930,0.281727560,32.8977121000,0.074703980,0.1757095000,0.2960688300,0.6843481100,0.3235669300,1.0000000000,0.8563174400,0.6511717500,0.8222086000,17.5709501200,29.6068832200,68.4348113100,32.3566928500,100.0000000000,85.6317439100,65.1171749600,82.2208601600,60.1173895700,22,22,14,8,1,12,25,2,6,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
28,"20240630","31280",여주시,8.722912030,2.722912030,3706673000,326.9255068400,323173.8277540000,3.324618410,0.8888888900,8503226.003190000,716.97,0.000886960,0.876782440,3.3246184100,0.013978670,0.3081149200,0.4398309700,0.4373391800,0.0157271300,0.0000000000,0.0327738700,0.8761049900,0.1255762500,30.8114922700,43.9830974500,43.7339175600,1.5727134600,0.0000000000,3.2773872500,87.6104989400,12.5576246200,27.9433414400,10,10,29,29,31,30,11,27,29,system,2025-06-05 13:08:03.515,system,2025-06-05 13:08:03.515
