"cmpttn_yr","stdg_cd","stdg_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2013","41111131  ",이목동,23945.3000000000,8062.4700000000,1488.1400000000,0.0000000000,33495.9100000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2014","41111131  ",이목동,23857.9100000000,8788.2100000000,1664.4900000000,0.0000000000,34310.6100000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2015","41111131  ",이목동,24973.4300000000,9045.4800000000,1763.6500000000,0.0000000000,35782.5600000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2016","41111131  ",이목동,26166.2500000000,8008.4000000000,1783.6400000000,0.0000000000,35958.2900000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2017","41111131  ",이목동,27174.6700000000,8895.0800000000,1871.1400000000,0.0000000000,37940.8900000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2018","41111131  ",이목동,27372.3700000000,8920.5300000000,1944.4700000000,0.0000000000,38237.3700000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2019","41111131  ",이목동,27317.1700000000,9321.2300000000,1817.0500000000,28709.8950000000,67165.3450000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2020","41111131  ",이목동,26895.9700000000,9694.6400000000,1854.0900000000,28421.2350000000,66865.9350000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2021","41111131  ",이목동,28087.4200000000,10212.5500000000,1832.7800000000,31984.0980000000,72116.8480000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2022","41111131  ",이목동,26643.1700000000,0.0000000000,1934.0700000000,31510.9620000000,60088.2020000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2023","41111131  ",이목동,26923.5900000000,0.0000000000,1819.1900000000,32085.4760000000,60828.2560000000,system,2025-06-11 17:18:36.477,system,2025-06-11 17:18:36.477
"2013","41830350  ",서종면,31852.3600000000,283.4800000000,0.0000000000,0.0000000000,32135.8400000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2014","41830350  ",서종면,29117.2600000000,320.6700000000,0.0000000000,0.0000000000,29437.9300000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2015","41830350  ",서종면,29763.2900000000,342.8300000000,0.0000000000,0.0000000000,30106.1200000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2016","41830350  ",서종면,30356.7000000000,372.1200000000,0.0000000000,0.0000000000,30728.8200000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2017","41830350  ",서종면,31005.5600000000,590.7600000000,0.0000000000,0.0000000000,31596.3200000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2018","41830350  ",서종면,32329.6700000000,981.8800000000,0.0000000000,0.0000000000,33311.5500000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2019","41830350  ",서종면,30649.9200000000,1023.8000000000,0.0000000000,39243.9020000000,70917.6220000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2020","41830350  ",서종면,30909.9500000000,989.3300000000,0.0000000000,40910.1540000000,72809.4340000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2021","41830350  ",서종면,31903.8400000000,1140.8800000000,0.0000000000,44296.0420000000,77340.7620000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2022","41830350  ",서종면,32876.1300000000,1245.2700000000,0.0000000000,44283.7520000000,78405.1520000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2023","41830350  ",서종면,33597.1300000000,1252.1300000000,0.0000000000,43345.0420000000,78194.3020000000,system,2025-06-11 17:18:36.578,system,2025-06-11 17:18:36.578
"2013","41111133  ",천천동,62842.6800000000,20500.5800000000,8120.4900000000,0.0000000000,91463.7500000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2014","41111133  ",천천동,62461.8400000000,18484.1300000000,7174.3300000000,0.0000000000,88120.3000000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2015","41111133  ",천천동,65417.8100000000,18276.9300000000,7060.8400000000,0.0000000000,90755.5800000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2016","41111133  ",천천동,68954.0500000000,18602.3800000000,7030.6900000000,0.0000000000,94587.1200000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2017","41111133  ",천천동,69636.5100000000,18439.9000000000,7347.9600000000,0.0000000000,95424.3700000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2018","41111133  ",천천동,73016.7400000000,18775.9500000000,7544.1600000000,0.0000000000,99336.8500000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2019","41111133  ",천천동,70944.4300000000,17245.3800000000,7068.5200000000,18797.0860000000,114055.4160000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2020","41111133  ",천천동,70038.1800000000,15169.3600000000,7150.2200000000,15704.5440000000,108062.3040000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2021","41111133  ",천천동,73799.7600000000,15644.2000000000,7088.5100000000,16531.7930000000,113064.2630000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2022","41111133  ",천천동,76666.3600000000,0.0000000000,7332.9400000000,16755.8260000000,100755.1260000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2023","41111133  ",천천동,83926.2300000000,0.0000000000,6893.4900000000,16453.6250000000,107273.3450000000,system,2025-06-11 17:18:36.771,system,2025-06-11 17:18:36.771
"2013","41111132  ",율전동,35128.9600000000,27650.2600000000,0.0000000000,0.0000000000,62779.2200000000,system,2025-06-11 17:18:36.841,system,2025-06-11 17:18:36.841
"2014","41111132  ",율전동,34057.4500000000,23967.8900000000,0.0000000000,0.0000000000,58025.3400000000,system,2025-06-11 17:18:36.841,system,2025-06-11 17:18:36.841
"2015","41111132  ",율전동,34353.8100000000,24815.3600000000,0.0000000000,0.0000000000,59169.1700000000,system,2025-06-11 17:18:36.841,system,2025-06-11 17:18:36.841
"2016","41111132  ",율전동,35510.5800000000,25728.5300000000,0.0000000000,0.0000000000,61239.1100000000,system,2025-06-11 17:18:36.841,system,2025-06-11 17:18:36.841
"2017","41111132  ",율전동,35996.7400000000,26212.7000000000,0.0000000000,0.0000000000,62209.4400000000,system,2025-06-11 17:18:36.841,system,2025-06-11 17:18:36.841
