"cmpttn_yr","admdst_cd","admdst_se_cd","admdst_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2013","41000",ADM001,경기도,39791905.4000000000,12482742.4300000000,1316542.3000000000,0.0000000000,53591190.1300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","41000",ADM001,경기도,39938150.7700000000,11620550.4100000000,1225118.1100000000,0.0000000000,52783819.2900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","41000",ADM001,경기도,40990697.8700000000,11725580.5700000000,1234321.6300000000,0.0000000000,53950600.0700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2016","41000",ADM001,경기도,42706004.9900000000,12042616.9300000000,1314005.6700000000,0.0000000000,56062627.5900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2017","41000",ADM001,경기도,44506482.9900000000,12649769.9900000000,1455463.9600000000,0.0000000000,58611716.9400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2018","41000",ADM001,경기도,46848471.2600000000,13397889.6000000000,1616970.2200000000,0.0000000000,61863331.0800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2019","41000",ADM001,경기도,46322136.6900000000,12873069.1500000000,1613324.7100000000,23052364.7170000000,83860895.2670000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2020","41000",ADM001,경기도,46299510.5200000000,12705205.8700000000,1708473.1400000000,21825294.1060000000,82538483.6360000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2021","41000",ADM001,경기도,48333512.5600000000,13159698.6100000000,1779917.7800000000,22787209.1810000000,86060338.1310000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2022","41000",ADM001,경기도,53751846.6100000000,5276673.0100000000,1802368.8900000000,22957690.5010000000,83788579.0110000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2023","41000",ADM001,경기도,55229918.7800000000,5062515.7500000000,1610026.1400000000,23044769.9840000000,84947230.6540000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4111000000",ADM002,수원시,2225515.5600000000,1086835.3100000000,141771.3300000000,0.0000000000,3454122.2000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4113000000",ADM002,성남시,1980452.3000000000,824027.8000000000,210783.4900000000,0.0000000000,3015263.5900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4115000000",ADM002,의정부시,615441.8600000000,443490.3800000000,2646.4600000000,0.0000000000,1061578.7000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4117000000",ADM002,안양시,1078361.9100000000,438231.8200000000,78496.0600000000,0.0000000000,1595089.7900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4119000000",ADM002,부천시,1884136.0300000000,728400.9600000000,88413.4400000000,0.0000000000,2700950.4300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4121000000",ADM002,광명시,509176.4600000000,341543.5100000000,10330.6500000000,0.0000000000,861050.6200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4122000000",ADM002,평택시,2782734.5300000000,872087.2300000000,2180.0600000000,0.0000000000,3657001.8200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4125000000",ADM002,동두천시,246947.8000000000,137850.1400000000,0.0000000000,0.0000000000,384797.9400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4127000000",ADM002,안산시,3734222.2300000000,1239309.0000000000,58812.1700000000,0.0000000000,5032343.4000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4128000000",ADM002,고양시,1848760.9600000000,521943.7500000000,246380.5200000000,0.0000000000,2617085.2300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4129000000",ADM002,과천시,143095.7900000000,46068.4800000000,13862.8300000000,0.0000000000,203027.1000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4131000000",ADM002,구리시,318285.6300000000,185613.4900000000,0.0000000000,0.0000000000,503899.1200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4136000000",ADM002,남양주시,1024335.3500000000,515294.9600000000,8968.0700000000,0.0000000000,1548598.3800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
