"crtr_ymd","stdg_cd","stdg_nm","sgg_cd","sgg_nm","sigun_cd","sigun_nm","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
"2025    ","41111129  ",파장동,"41111",수원시 장안구,"41110",수원시,132311.1252813340,1520400.000000000,system,2025-07-10 16:37:38.957,system,2025-07-10 16:37:38.957,GRF002
"2025    ","41830350  ",서종면,"41830",양평군,"41830",양평군,1186332.9292249700,13638800.000000000,system,2025-07-10 16:39:41.560,system,2025-07-10 16:39:41.560,GRF002
"2025    ","41830360  ",단월면,"41830",양평군,"41830",양평군,1114220.0607261700,12789300.000000000,system,2025-07-10 16:49:08.084,system,2025-07-10 16:49:08.084,GRF002
"2025    ","41830370  ",청운면,"41830",양평군,"41830",양평군,1070911.5266504300,12339600.000000000,system,2025-07-10 16:52:25.872,system,2025-07-10 16:52:25.872,GRF002
"2025    ","41830380  ",양동면,"41830",양평군,"41830",양평군,2244799.0094003700,25892600.000000000,system,2025-07-10 17:00:38.693,system,2025-07-10 17:00:38.693,GRF002
"2025    ","41830395  ",지평면,"41830",양평군,"41830",양평군,2243760.4734392200,25813000.000000000,system,2025-07-10 17:05:17.886,system,2025-07-10 17:05:17.886,GRF002
"2025    ","41830400  ",용문면,"41830",양평군,"41830",양평군,1875738.2411747000,21517300.000000000,system,2025-07-10 17:10:23.015,system,2025-07-10 17:10:23.015,GRF002
"2025    ","41281115  ",선유동,"41281",고양시 덕양구,"41280",고양시,109630.1139259340,1258700.000000000,system,2025-07-10 18:35:52.805,system,2025-07-10 18:35:52.805,GRF002
"2025    ","41390105  ",미산동,"41390",시흥시,"41390",시흥시,181930.4065246580,2060500.000000000,system,2025-07-10 19:06:18.202,system,2025-07-10 19:06:18.202,GRF002
"2025    ","41590410  ",정남면,"41590",화성시,"41590",화성시,2364856.7504167600,26888000.000000000,system,2025-07-10 20:39:02.772,system,2025-07-10 20:39:02.772,GRF002
