"objectid","shape","crtr_ymd","stdg_cd","stdg_nm","sgg_cd","sgg_nm","sigun_cd","sigun_nm","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
752,,"2025    ","41111129  ",파장동,"41111",수원시 장안구,"41110",수원시,411898.8266754150,312500.000000000,system,2025-07-13 18:13:47.887,system,2025-07-13 18:13:47.887,GRF003
753,,"2025    ","41830350  ",서종면,"41830",양평군,"41830",양평군,1103413.1410522500,835900.000000000,system,2025-07-13 18:16:09.046,system,2025-07-13 18:16:09.046,GRF003
754,,"2025    ","41830360  ",단월면,"41830",양평군,"41830",양평군,674733.1065902710,511200.000000000,system,2025-07-13 18:26:34.928,system,2025-07-13 18:26:34.928,GRF003
926,,"2025    ","41220114  ",통복동,"41220",평택시,"41220",평택시,313338.7320404050,234600.000000000,system,2025-07-13 19:25:55.545,system,2025-07-13 19:25:55.545,GRF003
927,,"2025    ","41220115  ",군문동,"41220",평택시,"41220",평택시,50347.0693511963,37800.000000000,system,2025-07-13 19:26:05.814,system,2025-07-13 19:26:05.814,GRF003
928,,"2025    ","41290101  ",관문동,"41290",과천시,"41290",과천시,12412.1820220947,9300.000000000,system,2025-07-13 19:26:16.313,system,2025-07-13 19:26:16.313,GRF003
929,,"2025    ","41220116  ",유천동,"41220",평택시,"41220",평택시,117646.1726837160,88800.000000000,system,2025-07-13 19:26:27.431,system,2025-07-13 19:26:27.431,GRF003
930,,"2025    ","41220117  ",합정동,"41220",평택시,"41220",평택시,516037.1812744140,387700.000000000,system,2025-07-13 19:26:38.719,system,2025-07-13 19:26:38.719,GRF003
931,,"2025    ","41290107  ",중앙동,"41290",과천시,"41290",과천시,245548.2836608890,184700.000000000,system,2025-07-13 19:26:50.859,system,2025-07-13 19:26:50.859,GRF003
932,,"2025    ","41220118  ",비전동,"41220",평택시,"41220",평택시,1014895.9016876200,760700.000000000,system,2025-07-13 19:27:02.320,system,2025-07-13 19:27:02.320,GRF003
