"crtr_ymd","admdst_nm","admdst_se_cd","admdst_cd","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
"2025    ",경기도,ADM001,"41000",387533889.7840733883,4741.403300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",수원시,ADM002,"4111000000",7437128.3570342060,94.486600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",광명시,ADM002,"4121000000",4348208.5454139700,25.794500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",평택시,ADM002,"4122000000",57921132.8319272800,358.669700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",동두천시,ADM002,"4125000000",3998879.3613357556,24.886600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",안산시,ADM002,"4127000000",8750857.1946845052,102.790400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",고양시,ADM002,"4128000000",13994248.1739048967,170.203300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",과천시,ADM002,"4129000000",2346469.9083395004,13.865700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",구리시,ADM002,"4131000000",3338197.0842742898,19.978800000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",남양주시,ADM002,"4136000000",24980265.6168642296,151.776100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ","",ADM003,"4183000000",35235730.9226980556,212.849600000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ",경기도,ADM001,"41000",365451279.2691402783,4184.092000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
