"fbctn_yr","stdg_cd","type_evl_grd5","stdg_nm","biotop_type_grd_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41480115  ","1",문발동,1280901.944646670,system,2025-07-17 13:51:26.955,system,2025-07-17 13:51:26.955
"2025","41480115  ","2",문발동,1109812.900726000,system,2025-07-17 13:51:26.955,system,2025-07-17 13:51:26.955
"2025","41480115  ","3",문발동,985838.194889209,system,2025-07-17 13:51:26.955,system,2025-07-17 13:51:26.955
"2025","41480115  ","4",문발동,736241.020207998,system,2025-07-17 13:51:26.955,system,2025-07-17 13:51:26.955
"2025","41480115  ","5",문발동,1462181.183329290,system,2025-07-17 13:51:26.955,system,2025-07-17 13:51:26.955
"2025","41273106  ","1",목내동,170453.819181532,system,2025-07-17 13:51:27.715,system,2025-07-17 13:51:27.715
"2025","41273106  ","2",목내동,529482.724303122,system,2025-07-17 13:51:27.715,system,2025-07-17 13:51:27.715
"2025","41273106  ","3",목내동,70080.142473338,system,2025-07-17 13:51:27.715,system,2025-07-17 13:51:27.715
"2025","41273106  ","4",목내동,1918519.772659310,system,2025-07-17 13:51:27.715,system,2025-07-17 13:51:27.715
"2025","41273106  ","5",목내동,349733.441209325,system,2025-07-17 13:51:27.715,system,2025-07-17 13:51:27.715
"2025","41480117  ","1",목동동,164909.332193058,system,2025-07-17 13:51:27.934,system,2025-07-17 13:51:27.934
"2025","41480117  ","2",목동동,65440.279800945,system,2025-07-17 13:51:27.934,system,2025-07-17 13:51:27.934
"2025","41480117  ","3",목동동,1194210.773491160,system,2025-07-17 13:51:27.934,system,2025-07-17 13:51:27.934
"2025","41480117  ","4",목동동,948167.932305485,system,2025-07-17 13:51:27.934,system,2025-07-17 13:51:27.934
"2025","41480117  ","5",목동동,891270.326947898,system,2025-07-17 13:51:27.934,system,2025-07-17 13:51:27.934
"2025","41273107  ","1",초지동,300061.126211248,system,2025-07-17 13:51:28.400,system,2025-07-17 13:51:28.400
"2025","41273107  ","2",초지동,467437.374969204,system,2025-07-17 13:51:28.400,system,2025-07-17 13:51:28.400
"2025","41273107  ","3",초지동,1887400.807471000,system,2025-07-17 13:51:28.400,system,2025-07-17 13:51:28.400
"2025","41273107  ","4",초지동,2206801.042617040,system,2025-07-17 13:51:28.400,system,2025-07-17 13:51:28.400
"2025","41273107  ","5",초지동,1789119.797496860,system,2025-07-17 13:51:28.400,system,2025-07-17 13:51:28.400
"2025","41273108  ","1",원곡동,196945.902076182,system,2025-07-17 13:51:29.791,system,2025-07-17 13:51:29.791
"2025","41273108  ","2",원곡동,262086.425430814,system,2025-07-17 13:51:29.791,system,2025-07-17 13:51:29.791
"2025","41273108  ","3",원곡동,483481.590130691,system,2025-07-17 13:51:29.791,system,2025-07-17 13:51:29.791
"2025","41273108  ","4",원곡동,542286.234754715,system,2025-07-17 13:51:29.791,system,2025-07-17 13:51:29.791
"2025","41273108  ","5",원곡동,1314343.949172960,system,2025-07-17 13:51:29.791,system,2025-07-17 13:51:29.791
"2025","41273109  ","1",선부동,725985.257599807,system,2025-07-17 13:51:30.473,system,2025-07-17 13:51:30.473
"2025","41273109  ","2",선부동,835340.860427503,system,2025-07-17 13:51:30.473,system,2025-07-17 13:51:30.473
"2025","41273109  ","3",선부동,1012134.974427520,system,2025-07-17 13:51:30.473,system,2025-07-17 13:51:30.473
"2025","41273109  ","4",선부동,1014214.685248500,system,2025-07-17 13:51:30.473,system,2025-07-17 13:51:30.473
"2025","41273109  ","5",선부동,2169569.655417750,system,2025-07-17 13:51:30.473,system,2025-07-17 13:51:30.473
"2025","41273110  ","1",대부동동,2644424.438092440,system,2025-07-17 13:51:32.334,system,2025-07-17 13:51:32.334
"2025","41273110  ","2",대부동동,2151026.604703860,system,2025-07-17 13:51:32.334,system,2025-07-17 13:51:32.334
"2025","41273110  ","3",대부동동,3283921.455156200,system,2025-07-17 13:51:32.334,system,2025-07-17 13:51:32.334
"2025","41273110  ","4",대부동동,1266433.766532870,system,2025-07-17 13:51:32.334,system,2025-07-17 13:51:32.334
"2025","41273110  ","5",대부동동,1293409.589006970,system,2025-07-17 13:51:32.334,system,2025-07-17 13:51:32.334
"2025","41273111  ","1",대부북동,3045472.662227920,system,2025-07-17 13:51:36.955,system,2025-07-17 13:51:36.955
"2025","41273111  ","2",대부북동,2225236.402157750,system,2025-07-17 13:51:36.955,system,2025-07-17 13:51:36.955
