"fbctn_yr","stdg_cd","impvs_cd","stdg_nm","impvs_nm","biotop_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41133106  ",A,여수동,건폐지,369568.880213537,system,2025-07-17 15:15:29.361,system,2025-07-17 15:15:29.361
"2025","41133106  ",B,여수동,비건폐포장지,334208.861992945,system,2025-07-17 15:15:29.361,system,2025-07-17 15:15:29.361
"2025","41133106  ",C,여수동,반투수포장지,71768.361053601,system,2025-07-17 15:15:29.361,system,2025-07-17 15:15:29.361
"2025","41133106  ",D,여수동,투수포장,55492.239145160,system,2025-07-17 15:15:29.361,system,2025-07-17 15:15:29.361
"2025","41133106  ",E,여수동,녹지,1083445.816989890,system,2025-07-17 15:15:29.361,system,2025-07-17 15:15:29.361
"2025","41133106  ",F,여수동,수공간,23454.094230004,system,2025-07-17 15:15:29.361,system,2025-07-17 15:15:29.361
"2025","41133107  ",A,도촌동,건폐지,340591.028914283,system,2025-07-17 15:15:29.818,system,2025-07-17 15:15:29.818
"2025","41133107  ",B,도촌동,비건폐포장지,262826.250797691,system,2025-07-17 15:15:29.818,system,2025-07-17 15:15:29.818
"2025","41133107  ",C,도촌동,반투수포장지,4090.699413339,system,2025-07-17 15:15:29.818,system,2025-07-17 15:15:29.818
"2025","41133107  ",D,도촌동,투수포장,99857.893435079,system,2025-07-17 15:15:29.818,system,2025-07-17 15:15:29.818
"2025","41133107  ",E,도촌동,녹지,2240191.733958860,system,2025-07-17 15:15:29.818,system,2025-07-17 15:15:29.818
"2025","41133107  ",F,도촌동,수공간,53209.615375953,system,2025-07-17 15:15:29.818,system,2025-07-17 15:15:29.818
"2025","41133108  ",A,갈현동,건폐지,169148.786989016,system,2025-07-17 15:15:30.700,system,2025-07-17 15:15:30.700
"2025","41133108  ",B,갈현동,비건폐포장지,212216.913309637,system,2025-07-17 15:15:30.700,system,2025-07-17 15:15:30.700
"2025","41133108  ",C,갈현동,반투수포장지,88219.515901738,system,2025-07-17 15:15:30.700,system,2025-07-17 15:15:30.700
"2025","41133108  ",D,갈현동,투수포장,57788.116174948,system,2025-07-17 15:15:30.700,system,2025-07-17 15:15:30.700
"2025","41133108  ",E,갈현동,녹지,3878309.294507810,system,2025-07-17 15:15:30.700,system,2025-07-17 15:15:30.700
"2025","41133108  ",F,갈현동,수공간,40224.823930599,system,2025-07-17 15:15:30.700,system,2025-07-17 15:15:30.700
"2025","41133109  ",A,하대원동,건폐지,497701.922846001,system,2025-07-17 15:15:31.802,system,2025-07-17 15:15:31.802
"2025","41133109  ",B,하대원동,비건폐포장지,348839.984621718,system,2025-07-17 15:15:31.802,system,2025-07-17 15:15:31.802
"2025","41133109  ",C,하대원동,반투수포장지,34762.156875797,system,2025-07-17 15:15:31.802,system,2025-07-17 15:15:31.802
"2025","41133109  ",D,하대원동,투수포장,29761.226262803,system,2025-07-17 15:15:31.802,system,2025-07-17 15:15:31.802
"2025","41133109  ",E,하대원동,녹지,1435200.533497980,system,2025-07-17 15:15:31.802,system,2025-07-17 15:15:31.802
"2025","41133109  ",F,하대원동,수공간,1689.212251496,system,2025-07-17 15:15:31.802,system,2025-07-17 15:15:31.802
"2025","41135101  ",A,분당동,건폐지,941935.139755484,system,2025-07-17 15:15:32.397,system,2025-07-17 15:15:32.397
"2025","41135101  ",B,분당동,비건폐포장지,280443.452954141,system,2025-07-17 15:15:32.397,system,2025-07-17 15:15:32.397
"2025","41135101  ",C,분당동,반투수포장지,2737.664180216,system,2025-07-17 15:15:32.397,system,2025-07-17 15:15:32.397
"2025","41135101  ",D,분당동,투수포장,31238.905650544,system,2025-07-17 15:15:32.397,system,2025-07-17 15:15:32.397
"2025","41135101  ",E,분당동,녹지,2098587.723146490,system,2025-07-17 15:15:32.397,system,2025-07-17 15:15:32.397
"2025","41135101  ",F,분당동,수공간,32691.294801415,system,2025-07-17 15:15:32.397,system,2025-07-17 15:15:32.397
"2025","41135103  ",A,정자동,건폐지,1684105.610187660,system,2025-07-17 15:15:33.190,system,2025-07-17 15:15:33.190
